geo,time,ne_gdi_stkb_cn
abw,1995,22350000
abw,1996,12470000
abw,1997,56010000
abw,1998,93340000
abw,1999,53090000
abw,2000,87330000
abw,2001,-67060000
abw,2002,-44850000
abw,2003,-16570000
abw,2004,-190240000
abw,2005,-61190000
abw,2006,78800000
abw,2007,-33460000
abw,2008,368460000
abw,2009,117030000
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0
ago,1994,0
ago,1996,0
ago,1997,0
ago,1998,0
ago,1999,0
ago,2000,2148556800
ago,2001,0
ago,2002,1108000000
ago,2003,10317000000
ago,2004,5626000000
ago,2005,-7594000000
ago,2006,56963000000
ago,2007,28773000000
ago,2008,105236000000
ago,2009,1582000000
ago,2010,-3018000000
ago,2011,3355000000
ago,2012,-1621000000
ago,2013,-2049000000
ago,2014,3101000000
ago,2015,836025000000
ago,2016,165743000000
ago,2017,179927000000
ago,2018,172916000000
ago,2019,447282619900
ago,2020,551628600
ago,2021,345936851600
alb,1980,99000000
alb,1981,658000000
alb,1982,765000000
alb,1983,110000000
alb,1984,-864000000
alb,1985,78000000
alb,1986,-10000000
alb,1987,-685000000
alb,1988,-447000000
alb,1989,72000000
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,1995,0
alb,1996,-12473800000
alb,1997,-11450150000
alb,1998,-6719790000
alb,1999,-16893900000
alb,2000,-5564980000
alb,2001,-9807660000
alb,2002,-4831820000
alb,2003,-13534660000
alb,2004,-26547830000
alb,2005,-8445120000
alb,2006,-20707630000
alb,2007,-18564900000
alb,2008,19766930000
alb,2009,21150640000
alb,2010,23307780000
alb,2011,26628310000
alb,2012,24522030000
alb,2013,26635720000
alb,2014,21153090000
alb,2015,20160020000
alb,2016,12602870000
alb,2017,7381610000
alb,2018,778730000
alb,2019,11831431600
alb,2020,5198040000
alb,2021,8513900000
are,2001,5784116600
are,2002,5945707300
are,2003,6111441300
are,2004,7027121600
are,2005,11858267800
are,2006,13803570600
are,2007,15402903700
are,2008,31561968800
are,2009,25332442100
are,2010,25122974200
are,2011,22223688500
are,2012,14751363200
are,2013,14962886300
are,2014,38338000000
are,2015,29739250200
are,2016,20544953000
are,2017,89483000000
are,2018,95936000000
are,2019,62220332500
are,2020,33123992000
arg,1960,0
arg,1961,0
arg,1962,0
arg,1963,0
arg,1964,0.01544
arg,1965,0.01544
arg,1966,0
arg,1967,0
arg,1968,0
arg,1969,0
arg,1970,0
arg,1971,0
arg,1972,0
arg,1973,0
arg,1974,0
arg,1975,0
arg,1976,0
arg,1977,0
arg,1978,-0.15439
arg,1979,37.5152
arg,1980,0
arg,1981,0
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,0
arg,1990,0
arg,1991,0
arg,1992,0
arg,1993,1493946000
arg,1994,68602700
arg,1995,1451852800
arg,1996,4195708700
arg,1997,4263816100
arg,1998,3096528400
arg,1999,-428393400
arg,2000,3810712000
arg,2001,3887630900
arg,2002,-3459456800
arg,2003,-3723554400
arg,2004,8040702200
arg,2005,8954294600
arg,2006,2500657400
arg,2007,5229699800
arg,2008,6468080200
arg,2009,5882235900
arg,2010,17681834700
arg,2011,25062573400
arg,2012,17000328800
arg,2013,34027778200
arg,2014,58746332900
arg,2015,89672540800
arg,2016,279005791400
arg,2017,325176243500
arg,2018,200947516700
arg,2019,9165521700
arg,2020,31111675500
arg,2021,158731344600
arg,2022,12619138855.2809
arm,1990,1410000
arm,1991,9010000
arm,1992,-47880000
arm,1993,-108970000
arm,1994,14416000000
arm,1995,24309000000
arm,1996,21231000000
arm,1997,56798000000
arm,1998,61817000000
arm,1999,42946000000
arm,2000,2148600000
arm,2001,24304300000
arm,2002,7838900000
arm,2003,20489800000
arm,2004,19360500000
arm,2005,15055300000
arm,2006,9954800000
arm,2007,26677300000
arm,2008,39590200000
arm,2009,-54627900000
arm,2010,-19389400000
arm,2011,44770700000
arm,2012,46168100000
arm,2013,42822000000
arm,2014,62191900000
arm,2015,5949900000
arm,2016,33332100000
arm,2017,43033800000
arm,2018,340493700000
arm,2019,104230600000
arm,2020,116832500000
arm,2021,169660800000
arm,2022,160729800000
asm,2002,5000000
asm,2003,9000000
asm,2004,8000000
asm,2005,-6000000
asm,2006,-3000000
asm,2007,-8000000
asm,2008,-17000000
asm,2009,-6000000
asm,2010,-5000000
asm,2011,-3000000
asm,2013,6000000
asm,2014,32000000
asm,2015,23000000
asm,2016,46000000
asm,2017,38000000
asm,2018,-11000000
asm,2019,-4000000
asm,2020,19000000
asm,2021,9000000
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
aus,1960,217000000
aus,1961,501000000
aus,1962,-243000000
aus,1963,243000000
aus,1964,136000000
aus,1965,565000000
aus,1966,84000000
aus,1967,404000000
aus,1968,147000000
aus,1969,737000000
aus,1970,555000000
aus,1971,587000000
aus,1972,158000000
aus,1973,-340000000
aus,1974,1260000000
aus,1975,683000000
aus,1976,180000000
aus,1977,1134000000
aus,1978,-528000000
aus,1979,1388000000
aus,1980,914000000
aus,1981,428000000
aus,1982,1550000000
aus,1983,-2364000000
aus,1984,1271000000
aus,1985,2321000000
aus,1986,884000000
aus,1987,-1657000000
aus,1988,669000000
aus,1989,3356000000
aus,1990,5187000000
aus,1991,-1447000000
aus,1992,-2086000000
aus,1993,517000000
aus,1994,1430000000
aus,1995,4456000000
aus,1996,3385000000
aus,1997,4551000000
aus,1998,2859000000
aus,1999,4793000000
aus,2000,2071000000
aus,2001,1344000000
aus,2002,848000000
aus,2003,-912000000
aus,2004,3738000000
aus,2005,4124000000
aus,2006,-2844000000
aus,2007,1126000000
aus,2008,4614000000
aus,2009,-3007000000
aus,2010,-3261000000
aus,2011,6239000000
aus,2012,4595000000
aus,2013,428000000
aus,2014,-2379000000
aus,2015,901000000
aus,2016,1069000000
aus,2017,1859000000
aus,2018,3117000000
aus,2019,-481000000
aus,2020,-7720000000
aus,2021,6499000000
aus,2022,7314000000
aut,1970,1067422000
aut,1971,551359000
aut,1972,106870000
aut,1973,920073000
aut,1974,1222947000
aut,1975,-379786000
aut,1976,632423000
aut,1977,892931000
aut,1978,201522000
aut,1979,1932438000
aut,1980,1147594000
aut,1981,-134976000
aut,1982,109624000
aut,1983,-479638000
aut,1984,632831000
aut,1985,714498000
aut,1986,230078000
aut,1987,-17713000
aut,1988,881665000
aut,1989,1676370000
aut,1990,1830808000
aut,1991,772179000
aut,1992,400127000
aut,1993,-258346000
aut,1994,37493000
aut,1995,2585860000
aut,1996,996360000
aut,1997,1498920000
aut,1998,1247660000
aut,1999,2361220000
aut,2000,673480000
aut,2001,803020000
aut,2002,254140000
aut,2003,697050000
aut,2004,1137880000
aut,2005,1964330000
aut,2006,2703880000
aut,2007,4734710000
aut,2008,3498690000
aut,2009,1043620000
aut,2010,2991880000
aut,2011,5175300000
aut,2012,4231130000
aut,2013,2212930000
aut,2014,2901670000
aut,2015,3817330000
aut,2016,4148390000
aut,2017,4468830000
aut,2018,6285000000
aut,2019,1728920000
aut,2020,2428510000
aut,2021,5288580000
aut,2022,7454830000
aze,1990,18400
aze,1991,-44600
aze,1992,-1085000
aze,1993,264900
aze,1994,-41013400
aze,1995,173600000
aze,1996,-2900000
aze,1997,-87000000
aze,1998,-73900000
aze,1999,-76100000
aze,2000,-116200000
aze,2001,-117200000
aze,2002,30100000
aze,2003,20700000
aze,2004,23900000
aze,2005,28300000
aze,2006,29700000
aze,2007,35600000
aze,2008,46100000
aze,2009,46000000
aze,2010,-45500000
aze,2011,47000000
aze,2012,-75800000
aze,2013,-79100000
aze,2014,47000000
aze,2015,48000000
aze,2016,390800000
aze,2017,395100000
aze,2018,-452200000
aze,2019,-673000000
aze,2020,725400000
aze,2021,793600000
aze,2022,-311100000
bdi,1965,30400000
bdi,1967,-8400000
bdi,1968,-3600000
bdi,1969,-5000000
bdi,1970,113400000
bdi,1971,561600000
bdi,1972,-450000000
bdi,1973,-98100000
bdi,1974,-666100000
bdi,1975,-556000000
bdi,1981,3000900000
bdi,1982,-616000000
bdi,1983,3537000000
bdi,1984,925000000
bdi,1985,-616000000
bdi,1986,-3205200000
bdi,1987,1534000000
bdi,1988,-114000000
bdi,1989,-182000000
bdi,1990,-1369000000
bdi,1991,-1034000000
bdi,1992,1006000000
bdi,1993,1002000000
bdi,1994,53000000
bdi,1995,-198800000
bdi,1996,-408800000
bdi,2005,-1208244000
bdi,2006,17028700000
bdi,2007,5868924000
bdi,2008,1911139000
bdi,2009,13149050000
bdi,2010,17507330000
bdi,2011,25375810000
bdi,2012,50487150000
bdi,2013,45750000000
bdi,2014,-8370000000
bdi,2015,-7934721000
bdi,2016,-8141004000
bdi,2017,-9765556000
bdi,2018,1000000
bdi,2019,-556000
bdi,2020,1000000
bdi,2021,661300
bdi,2022,661300
bel,1970,1913844000
bel,1971,1789110000
bel,1972,881224000
bel,1973,2123618000
bel,1974,4020813000
bel,1975,-556903000
bel,1976,920140000
bel,1977,1327094000
bel,1978,1003263000
bel,1979,2581892000
bel,1980,3091666000
bel,1981,1626448000
bel,1982,2565545000
bel,1983,-712809000
bel,1984,3470699000
bel,1985,-452577000
bel,1986,-1315302000
bel,1987,775038000
bel,1988,1674535000
bel,1989,1318130000
bel,1990,-56572000
bel,1991,421462000
bel,1992,678865000
bel,1993,1335102000
bel,1994,4503140000
bel,1995,1176700000
bel,1996,955900000
bel,1997,999600000
bel,1998,1321700000
bel,1999,1266000000
bel,2000,3271100000
bel,2001,643800000
bel,2002,139300000
bel,2003,1323100000
bel,2004,3577300000
bel,2005,4734800000
bel,2006,5349100000
bel,2007,4502300000
bel,2008,6396900000
bel,2009,-2117700000
bel,2010,3644800000
bel,2011,5626600000
bel,2012,2811500000
bel,2013,1002600000
bel,2014,1331300000
bel,2015,2769100000
bel,2016,4191000000
bel,2017,5242300000
bel,2018,8250100000
bel,2019,3436300000
bel,2020,478400000
bel,2021,9277600000
bel,2022,19388400000
ben,1982,2300000000
ben,1983,2900000000
ben,1984,1400000000
ben,1985,900000000
ben,1986,2900000000
ben,1987,-2100000000
ben,1988,2644000000
ben,1989,-3067000100
ben,1990,7677916000
ben,1991,8530300000
ben,1992,1214400000
ben,1993,14012496900
ben,1994,13836200000
ben,1995,41747252600
ben,1996,14625695800
ben,1997,17461365400
ben,1998,12693691100
ben,1999,-41477748500
ben,2000,-67938017100
ben,2001,-35184534500
ben,2002,-60490943400
ben,2003,-73814880700
ben,2004,-28336507200
ben,2005,-102328700300
ben,2006,-47330536000
ben,2007,-26611569300
ben,2008,-91872220700
ben,2009,-77852497500
ben,2010,-96337891300
ben,2011,-88880163200
ben,2012,-52771234400
ben,2013,-114154175900
ben,2014,-156117180700
ben,2015,15898000000
ben,2016,38497000000
ben,2017,38497000000
ben,2018,38497000000
ben,2019,38497000000
ben,2020,38497000000
ben,2021,39550124000
ben,2022,42639321800
bfa,1979,3169459500
bfa,1980,4023102000
bfa,1981,1554849700
bfa,1982,4090616100
bfa,1983,-803167300
bfa,1984,-4378728400
bfa,1985,26594000900
bfa,1986,7000000000
bfa,1987,-5292000300
bfa,1988,2600000000
bfa,1989,6300000300
bfa,1990,9900000300
bfa,1991,11000000500
bfa,1992,-1700000000
bfa,1993,6400000000
bfa,1994,15262539800
bfa,1995,17169120300
bfa,1996,31657459700
bfa,1997,45227020300
bfa,1998,29830307800
bfa,1999,4281042700
bfa,2000,-40481518000
bfa,2001,-2763971400
bfa,2002,2313626700
bfa,2003,29142256400
bfa,2004,-3358409900
bfa,2005,68888807700
bfa,2006,7860793300
bfa,2007,2476871200
bfa,2008,144588967700
bfa,2009,53266813900
bfa,2010,93423736000
bfa,2011,57483936600
bfa,2012,160195490500
bfa,2013,15095213900
bfa,2014,41374859400
bfa,2015,17152000000
bfa,2016,40778000000
bfa,2017,95302000000
bfa,2018,138629000000
bfa,2019,74956362400
bgr,1980,1479000
bgr,1981,2182000
bgr,1982,1929000
bgr,1983,1832000
bgr,1984,2404100
bgr,1985,1882000
bgr,1986,3059100
bgr,1987,2202900
bgr,1988,2937400
bgr,1989,2776300
bgr,1990,1963000
bgr,1991,6030000
bgr,1992,7360000
bgr,1993,6956000
bgr,1994,-22967000
bgr,1995,13525000
bgr,1996,-72064000
bgr,1997,8830000
bgr,1998,1088790000
bgr,1999,898623000
bgr,2000,651083000
bgr,2001,646120000
bgr,2002,528665000
bgr,2003,831327000
bgr,2004,1022878000
bgr,2005,975376000
bgr,2006,2475954000
bgr,2007,3376275000
bgr,2008,2873757000
bgr,2009,554135000
bgr,2010,251429000
bgr,2011,420990000
bgr,2012,631924000
bgr,2013,-145195000
bgr,2014,376120000
bgr,2015,125535000
bgr,2016,526299000
bgr,2017,1553784000
bgr,2018,2704487000
bgr,2019,2876649000
bgr,2020,1534218000
bgr,2021,6576079000
bgr,2022,8887543000
bhr,1980,177300000
bhr,1981,162100000
bhr,1982,45400000
bhr,1983,39800000
bhr,1984,-21700000
bhr,1985,25900000
bhr,1986,-64500000
bhr,1987,37400000
bhr,1988,12100000
bhr,1989,70100000
bhr,1990,-39700000
bhr,1991,152900000
bhr,1992,139300000
bhr,1993,-96300000
bhr,1994,-6500000
bhr,1995,-59800000
bhr,1996,46400000
bhr,1997,130600000
bhr,1998,171900000
bhr,1999,-141200000
bhr,2000,6360000
bhr,2001,-42670000
bhr,2002,8510000
bhr,2003,6810000
bhr,2004,-98590000
bhr,2005,62970000
bhr,2006,61820000
bhr,2007,94940000
bhr,2008,41130000
bhr,2009,76310000
bhr,2010,119980000
bhr,2011,144590000
bhr,2012,151350000
bhr,2013,143990000
bhr,2014,156200000
bhr,2015,170310000
bhr,2016,410860000
bhr,2017,612750000
bhr,2018,824780000
bhr,2019,704060000
bhr,2020,807025600
bhr,2021,143722300
bhs,1977,7900000
bhs,1978,8500000
bhs,1979,10900000
bhs,1980,31300000
bhs,1981,29900000
bhs,1982,40100000
bhs,1983,41600000
bhs,1984,7200000
bhs,1985,37100000
bhs,1986,30300000
bhs,1987,2000000
bhs,1989,86620000
bhs,1990,119900000
bhs,1991,122750000
bhs,1992,53810000
bhs,1993,62040000
bhs,1994,54850000
bhs,1995,76000000
bhs,1996,101350000
bhs,1997,59500000
bhs,1998,63500000
bhs,1999,80800000
bhs,2000,172800000
bhs,2001,119600000
bhs,2002,113800000
bhs,2003,106700000
bhs,2004,104000000
bhs,2005,114600000
bhs,2006,116500000
bhs,2007,117300000
bhs,2008,120300000
bhs,2009,124800000
bhs,2010,127500000
bhs,2011,178900000
bhs,2012,108200000
bhs,2013,91400000
bhs,2014,124400000
bhs,2015,123100000
bhs,2016,115700000
bhs,2017,132700000
bhs,2018,139900000
bhs,2019,135300000
bhs,2020,110100000
bhs,2021,126600000
bhs,2022,157500000
bih,1995,206366400
bih,1996,300960000
bih,1997,495594900
bih,1998,393598700
bih,1999,353000000
bih,2000,-95000000
bih,2001,325000000
bih,2002,350000000
bih,2003,372887700
bih,2004,575794000
bih,2005,12882000
bih,2006,510042000
bih,2007,684068200
bih,2008,745693800
bih,2009,-14974800
bih,2010,-266836200
bih,2011,58016400
bih,2012,148783200
bih,2013,55566800
bih,2014,-101153300
bih,2015,235614116.93534
bih,2016,677177755.86
bih,2017,947985613.49
bih,2018,674813589
bih,2019,760910369.64354
bih,2020,345327000
bih,2021,1810000000
blr,1990,19.8
blr,1991,100
blr,1992,600
blr,1993,7000
blr,1994,-5800
blr,1995,6300
blr,1996,468100
blr,1997,589100
blr,1998,545800
blr,1999,-7928900
blr,2000,1800500
blr,2001,18750000
blr,2002,5021400
blr,2003,44100000
blr,2004,167470000
blr,2005,126480000
blr,2006,200020000
blr,2007,263860000
blr,2008,563020000
blr,2009,188500000
blr,2010,311830000
blr,2011,-143880000
blr,2012,918990000
blr,2013,1080600000
blr,2014,1303000000
blr,2015,342000000
blr,2016,985000000
blr,2017,1980000000
blr,2018,2265000000
blr,2019,2850000000
blr,2020,3128000000
blr,2021,3201000000
blr,2022,4890000000
blz,1980,7013317.8463
blz,1981,6028992.5345
blz,1982,-7874602.4941
blz,1983,6028992.5345
blz,1984,16733530.3
blz,1985,21778197.523
blz,1986,16364408.308
blz,1987,3076016.5993
blz,1988,-2214731.9515
blz,1989,26084620.762
blz,1990,0
blz,1991,0
blz,1992,0
blz,1993,0
blz,1994,0
blz,1995,0
blz,1996,0
blz,1997,2000000
blz,1998,2000000
blz,1999,0
blz,2000,32000000
blz,2001,-4000000
blz,2002,15000000
blz,2003,20000000
blz,2004,25000000
blz,2005,36000000
blz,2006,16000000
blz,2007,-10000000
blz,2008,-35000000
blz,2009,-10000000
blz,2010,55000000
blz,2011,-87000000
blz,2012,-18000000
blz,2013,-22000000
blz,2014,27000000
blz,2015,16000000
blz,2016,-2000000
blz,2017,-16000000
blz,2018,-2000000
blz,2019,4000000
blz,2020,53000000
blz,2021,81000000
blz,2022,13655819.62236
bol,1980,-313.62189
bol,1981,-176.85651
bol,1982,2283.1438
bol,1983,8899.69839
bol,1984,869588.55499
bol,1985,118324662.67554
bol,1986,13494971.05798
bol,1987,127093332.77311
bol,1988,138263934.17938
bol,1989,-51252905.64612
bol,1990,-4100535.62817
bol,1991,209256800
bol,1992,85582900
bol,1993,-24607700
bol,1994,-132732400
bol,1995,-93328200
bol,1996,22842000
bol,1997,276106200
bol,1998,212243500
bol,1999,-156734200
bol,2000,132936800
bol,2001,183780700
bol,2002,365616000
bol,2003,351709900
bol,2004,-463304600
bol,2005,972637300
bol,2006,-395752800
bol,2007,-981614500
bol,2008,366936700
bol,2009,598895800
bol,2010,599445900
bol,2011,1412846600
bol,2012,-1291147000
bol,2013,-89731500
bol,2014,117986000
bol,2015,-2485046500
bol,2016,907356500
bol,2017,2467259700
bol,2018,1197800000
bol,2019,2542576300
bol,2020,521387900
bol,2021,573256800
bra,1970,0.00121
bra,1971,0.00127
bra,1972,0.00111
bra,1973,0.00312
bra,1974,0.00668
bra,1975,0.00904
bra,1976,0.00371
bra,1977,0.00636
bra,1978,0.0101
bra,1979,-0.00483
bra,1980,0.02
bra,1981,0.01309
bra,1982,-0.06291
bra,1983,-0.61745
bra,1984,-1.60873
bra,1985,11.3236
bra,1986,0
bra,1987,-0.00098
bra,1988,0.16992
bra,1989,0
bra,1990,-57000
bra,1991,1001000
bra,1992,3277000
bra,1993,220372000
bra,1994,4880060000
bra,1995,-21137043100
bra,1996,-11741951000
bra,1997,-12938087700
bra,1998,-3784843200
bra,1999,4060048100
bra,2000,7178139700
bra,2001,4260071400
bra,2002,-7104066100
bra,2003,4328019500
bra,2004,11596446000
bra,2005,3227659300
bra,2006,14605467600
bra,2007,49605753300
bra,2008,69474657800
bra,2009,-10193199800
bra,2010,49220001300
bra,2011,53274000900
bra,2012,33728000500
bra,2013,41685000700
bra,2014,39030000600
bra,2015,-25432999700
bra,2016,-34781000500
bra,2017,4386000200
bra,2018,-131000700
bra,2019,3371001300
bra,2020,-33877997700
bra,2021,47076412300
bra,2022,-67346780199.99999
brb,1975,4722000
brb,1976,4572000
brb,1977,3200000
brb,1978,2204000
brb,1979,18300000
brb,1980,29000000
brb,1981,7100000
brb,1982,-3900000
brb,1983,6200000
brb,1984,-5700000
brb,1985,7500000
brb,1986,-3500000
brb,1987,6800000
brb,1988,8400000
brb,1989,11100000
brb,1990,-3100000
brb,1991,29500000
brb,1992,-48800000
brb,1993,13900000
brb,1994,23100000
brb,1995,19400000
brb,1996,-22400000
brb,1997,4400000
brb,1998,8900000
brb,1999,29400000
brb,2000,7400000
brb,2001,-44700000
brb,2002,-15600000
brb,2003,-5800000
brb,2004,9200000
brb,2005,9700000
brb,2006,10117100
brb,2007,11500000
brb,2008,13700000
brb,2009,17300000
brb,2010,17100000
brb,2011,19100000
brb,2012,19498000
brb,2013,19034800
brb,2014,19034800
brb,2015,19034800
brb,2016,19034800
brb,2017,19034800
brb,2018,19034800
brb,2019,19034800
brb,2020,19034800
brb,2021,19000000
brn,1989,0
brn,1990,0
brn,1991,0
brn,1992,0
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,0
brn,1997,0
brn,1998,0
brn,1999,0
brn,2000,10372700
brn,2001,-20653300
brn,2002,6670800
brn,2003,8188600
brn,2004,7303800
brn,2005,1936800
brn,2006,-5100000
brn,2007,-1700000
brn,2008,-900000
brn,2009,1200000
brn,2010,29600000
brn,2011,25696300
brn,2012,27624100
brn,2013,30745800
brn,2014,35423200
brn,2015,38994400
brn,2016,39650700
brn,2017,36374700
