geo,time,ny_tax_nind_cd
abw,1995,116575418.99441
abw,1996,123424581.00559
abw,1997,127860335.19553
abw,1998,133217877.09497
abw,1999,144234636.87151
abw,2000,144553072.6257
abw,2001,144080446.92737
abw,2002,144739106.14525
abw,2003,156927374.30168
abw,2004,179011173.18436
abw,2005,191925698.32402
abw,2006,212055865.92179
abw,2007,279606145.2514
abw,2008,302548603.35195
abw,2009,282263687.15084
afg,1960,8888888.88889
afg,1961,8888888.88889
afg,1962,8888888.88889
afg,1963,20000000
afg,1964,22222222.22222
afg,1965,33333333.33333
afg,1966,51111111.11111
afg,1967,62222222.22222
afg,1968,40000000
afg,1969,46666666.66667
afg,1970,60000000
afg,1971,64444444.44444
afg,1972,60000000
afg,1973,64444444.44444
afg,1974,120000000
afg,1975,91111111.11111
afg,1976,64444444.44444
afg,1977,86666666.66667
afg,1978,97777777.77778
afg,1979,109839816.93364
afg,1980,108843537.41497
afg,1981,105050505.0505
afg,2002,57211549.16409
afg,2003,109523819.23776
afg,2004,153732517.55568
afg,2005,190326129.44434
afg,2006,231602772.10271
afg,2007,264953391.1409
afg,2008,281266070.24389
afg,2009,442948652.77072
afg,2010,596069868.99563
afg,2011,679992797.44058
afg,2012,774446152.08144
afg,2013,835188276.24682
afg,2014,746147677.82613
afg,2015,797546825.21722
afg,2016,859385704.75109
afg,2017,981025247.31328
afg,2018,934659168.57437
afg,2019,905738583.61775
afg,2020,880820072.95466
ago,2002,123454521.22894
ago,2003,50612347.75079
ago,2004,-101279126.27751
ago,2005,-78236236.95059
ago,2006,113552516.48353
ago,2007,-451593810.66173
ago,2008,1731362299.98907
ago,2009,1637500913.92468
ago,2010,910236476.08364
ago,2011,558975272.21009
ago,2012,-1738634935.26627
ago,2013,-1854311565.78597
ago,2014,776054796.22064
ago,2015,2168666784.3849
ago,2016,2477406616.5454
ago,2017,3102952029.34015
ago,2018,2066784738.0937
ago,2019,4237347124.57288
ago,2020,2750780369.7929
alb,1996,206144275.2029
alb,1997,181391070.21132
alb,1998,302289825.35062
alb,1999,344038884.86604
alb,2000,410201308.26065
alb,2001,415952735.62578
alb,2002,482292967.95432
alb,2003,676449182.6652
alb,2004,877729359.71933
alb,2005,1007997072.20265
alb,2006,1197412831.7673
alb,2007,1373784418.30453
alb,2008,1713563209.07424
alb,2009,1622912860.96479
alb,2010,1560190288.89699
alb,2011,1679983507.73769
alb,2012,1645937484.4016
alb,2013,1631073387.515
alb,2014,1682418183.5419
alb,2015,1385980421.03274
alb,2016,1460224500.07048
alb,2017,1646979345.08816
alb,2018,1898682275.63497
alb,2019,1945181703.72906
alb,2020,1866914765.76162
and,2000,115441311.95873
and,2001,146013422.81879
and,2002,172077922.07792
and,2003,216060948.08126
and,2004,260839334.49218
and,2005,289565974.3813
and,2006,323347133.35842
and,2007,379373117.98522
and,2008,359396513.8421
and,2009,322589608.22451
and,2010,324870741.08445
and,2011,371074610.24499
and,2012,366773737.6333
and,2013,344122725.46155
and,2014,362030025.24246
and,2015,302363253.07889
and,2016,325481514.27939
and,2017,335291459.55716
and,2018,345051960.32121
and,2019,322512034.03112
arg,1965,-382.35293
arg,1966,-476947.6111
arg,1967,960.6061
arg,1968,560.00001
arg,1969,283974.29037
arg,1970,1397.36846
arg,1971,199675.99733
arg,1972,1420.00001
arg,1973,110103.33271
arg,1974,-993.33333
arg,1975,609.18918
arg,1976,41842.45118
arg,1977,-31566.60019
arg,1978,-10748.36055
arg,1979,-7314.91025
arg,1980,-458.68137
arg,1981,-522.01159
arg,1982,0
arg,1983,0
arg,1984,0
arg,1985,0
arg,1986,0
arg,1987,0
arg,1988,0
arg,1989,-377.98251
arg,1990,-4200.25034
arg,1991,314.63031
arg,1992,-5451.24167
arg,1993,18725805105.10509
arg,1994,20133958300
arg,1995,19419715300
arg,1996,21050157300
arg,1997,23300894700
arg,1998,23598744700
arg,1999,21048781200
arg,2000,20984794700
arg,2001,17808208200
arg,2002,5557328612.51798
arg,2003,8251119505.82086
arg,2004,24671690754.1918
arg,2005,29708782546.3974
arg,2006,35144087415.54049
arg,2007,44923994197.97409
arg,2008,58403891562.09709
arg,2009,53729654063.71741
arg,2010,68262797914.64849
arg,2011,84702426704.94638
arg,2012,88072858222.0842
arg,2013,88446055642.5686
arg,2014,84576195374.81902
arg,2015,94418570396.93161
arg,2016,86746814814.8148
arg,2017,100639818550.11598
arg,2018,81363545563.26749
arg,2019,72021125338.7998
arg,2020,62659242550.24161
arm,2012,1140555898.48767
arm,2013,1236319156.7326
arm,2014,1313558286.95821
arm,2015,1121114424.78767
arm,2016,1058930479.45818
arm,2017,1185116146.87216
arm,2018,1323479946.39203
arm,2019,1551029659.78839
arm,2020,1376091314.49346
atg,1977,7362962.96296
atg,1978,9240740.74074
atg,1979,11703703.7037
atg,1980,14829629.62963
atg,1981,17285185.18519
atg,1982,20492592.59259
atg,1983,21377777.77778
atg,1984,24085185.18519
atg,1985,28118518.51852
atg,1986,41411111.11111
atg,1987,46670370.37037
atg,1988,54507407.40741
atg,1989,56970370.37037
atg,1990,60614814.81481
atg,1991,61588888.88889
atg,1992,64522222.22222
atg,1993,68296296.2963
atg,1994,76800000
atg,1995,78844444.44444
atg,1996,89151851.85185
atg,1997,92492592.59259
atg,1998,96318518.51852
atg,1999,96974074.07407
atg,2000,84055555.55556
atg,2001,91607407.40741
atg,2002,97696296.2963
atg,2003,103707407.40741
atg,2004,126248148.14815
atg,2005,131022222.22222
atg,2006,154870370.37037
atg,2007,200592592.59259
atg,2008,192911111.11111
atg,2009,156629629.62963
atg,2010,162174074.07407
atg,2011,162088888.88889
atg,2012,176892592.59259
atg,2013,156929629.62963
atg,2014,165837037.03704
atg,2015,179959259.25926
atg,2016,192340740.74074
atg,2017,192196296.2963
atg,2018,204092592.59259
atg,2019,198418518.51852
atg,2020,176403703.7037
aus,1990,24842631781.4544
aus,1991,25758574680.1664
aus,1992,24942705529.4932
aus,1993,23542720629.5672
aus,1994,25681079211.3456
aus,1995,29893822393.82241
aus,1996,32729135053.1108
aus,1997,35327124745.65661
aus,1998,31886997219.0192
aus,1999,30956886827.9233
aus,2000,32888902844.9413
aus,2001,32799184286.78759
aus,2002,33357576391.7957
aus,2003,40880605707.6296
aus,2004,53440745482.999
aus,2005,56364456472.7109
aus,2006,59159928122.19228
aus,2007,66404176807.72551
aus,2008,79844225604.29718
aus,2009,60908555441.0249
aus,2010,79220470360.2572
aus,2011,91555752735.877
aus,2012,95554753557.43449
aus,2013,98765774084.33359
aus,2014,95577894060.40581
aus,2015,90460104834.0128
aus,2016,85034211675.6442
aus,2017,90438192925.56
aus,2018,96425083326.8739
aus,2019,90298240595.05081
aus,2020,83976404343.74579
aut,1970,682797565.49352
aut,1971,817919925.10188
aut,1972,1024566938.50824
aut,1973,3915333473.89135
aut,1974,4463772084.80565
aut,1975,4857728529.66738
aut,1976,4856759990.79543
aut,1977,5915257680.45958
aut,1978,6968198616.50716
aut,1979,8221310344.82759
aut,1980,9151853860.88066
aut,1981,8026949196.47486
aut,1982,7950974429.29741
aut,1983,8150356978.70385
aut,1984,8229630699.40169
aut,1985,8222010508.11386
aut,1986,11383214060.3876
aut,1987,14252249673.4872
aut,1988,15626477209.406
aut,1989,15515281331.2533
aut,1990,18721856468.5949
aut,1991,19547753682.96989
aut,1992,21838775356.8745
aut,1993,21147997160.7713
aut,1994,22493687507.5292
aut,1995,24277494199.536
aut,1996,25112126332.2069
aut,1997,23250614499.9436
aut,1998,23644530902.62339
aut,1999,24146654591.9454
aut,2000,21173456790.1235
aut,2001,20982979865.7718
aut,2002,22945473367.2125
aut,2003,27781930022.5734
aut,2004,32592401291.28381
aut,2005,35053985822.65889
aut,2006,36066290302.34599
aut,2007,41573104297.8374
aut,2008,45916405448.95271
aut,2009,43585801611.55879
aut,2010,42730104896.36961
aut,2011,46881787309.95069
aut,2012,45104854949.6919
aut,2013,46850627132.3072
aut,2014,47650836366.86829
aut,2015,41292275221.47389
aut,2016,42758537588.73249
aut,2017,45013721079.6496
aut,2018,48422946117.68471
aut,2019,47260038163.99991
aut,2020,45046752525.9456
aze,1992,38296296.2963
aze,1993,76820000
aze,1994,23312738.8535
aze,1995,187153053.13244
aze,1996,319655933.97652
aze,1997,292936896.2489
aze,1998,183122253.81236
aze,1999,181067961.16505
aze,2000,325435851.58695
aze,2001,449157092.23666
aze,2002,500102859.49393
aze,2003,559820792.18002
aze,2004,626539126.89529
aze,2005,1001163528.66512
aze,2006,1146630848.44415
aze,2007,2179466262.67335
aze,2008,3272395326.19279
aze,2009,3495894501.11968
aze,2010,3583977074.50785
aze,2011,3869697353.42535
aze,2012,4317718940.93686
aze,2013,4943275971.95666
aze,2014,5626673466.78567
aze,2015,4742338473.55065
aze,2016,3084163689.91665
aze,2017,2907506390.89008
aze,2018,3646058823.52941
aze,2019,4330882352.94118
aze,2020,4113235294.11765
bdi,1960,7000000
bdi,1961,7000000
bdi,1962,7000000
bdi,1963,7000000
bdi,1964,12250000
bdi,1965,9493333.33333
bdi,1966,10080000
bdi,1967,10971428.57143
bdi,1968,13405714.28571
bdi,1969,13280000
bdi,1970,18214857.14286
bdi,1971,16424000
bdi,1972,17196571.42857
bdi,1973,20795741.38405
bdi,1974,25337142.85714
bdi,1975,27994920.63492
bdi,1976,36786086.95652
bdi,1977,70872222.22222
bdi,1978,67846666.66667
bdi,1979,87641111.11111
bdi,1980,69115555.55556
bdi,1981,50202222.22222
bdi,1982,75621111.11111
bdi,1983,71202797.2028
bdi,1984,89817057.8899
bdi,1985,104374844.6433
bdi,1986,123307348.69055
bdi,1987,93517319.52088
bdi,1988,120310552.3701
bdi,1989,136058537.69215
bdi,1990,97690578.37727
bdi,1991,122795612.43547
bdi,1992,111856266.59242
bdi,1993,97199333.60791
bdi,1994,119554521.23975
bdi,1995,127211119.56374
bdi,1996,58328984.31049
bdi,1997,108143466.15581
bdi,1998,64993094.60437
bdi,1999,4296469.94109
bdi,2000,71592181.99731
bdi,2001,48969459.62546
bdi,2002,44211765.53254
bdi,2003,59558741.94085
bdi,2004,71339172.32108
bdi,2005,91650415.70773
bdi,2006,106260078.41478
bdi,2007,108370721.53883
bdi,2008,133113961.91992
bdi,2009,151773822.87068
bdi,2010,187610247.96567
bdi,2011,234573194.26309
bdi,2012,232824048.77971
bdi,2013,245768280.41664
bdi,2014,281828252.22087
bdi,2015,254213005.71814
bdi,2016,253797432.65348
bdi,2017,352965637.29899
bdi,2018,326953592.91146
bdi,2019,367553417.01674
bdi,2020,510154832.20653
bel,1970,1494910044.37273
bel,1971,1743182304.08683
bel,1972,2163436898.54276
bel,1973,3092506727.38563
bel,1974,4291946975.97349
bel,1975,5406807063.7271
bel,1976,6511891327.06374
bel,1977,7715599324.70456
bel,1978,9613144613.80812
bel,1979,10980997523.3902
bel,1980,11663292867.9818
bel,1981,9850310734.46328
bel,1982,8777642592.26558
bel,1983,8258925443.78698
bel,1984,7640107511.86819
bel,1985,7832466879.54345
bel,1986,10610897597.9772
bel,1987,14278603997.839
bel,1988,15638853538.124
bel,1989,16503921990.172
bel,1990,20075177450.507
bel,1991,20188324867.0998
