global,time,bx_gsr_trvl_zs
world,1982,25.95794
world,1983,26.56162
world,1984,28.73253
world,1985,29.24006
world,1986,30.52225
world,1987,31.53447
world,1988,32.51074
world,1989,32.94967
world,1990,32.84488
world,1991,32.93935
world,1992,33.92791
world,1993,34.04015
world,1994,34.07934
world,1995,34.29539
world,1996,32.84337
world,1997,31.05546
world,1998,30.71983
world,1999,30.33402
world,2000,29.27799
world,2001,28.45176
world,2002,27.69205
world,2003,27.74415
world,2004,26.99265
world,2005,26.09025
world,2006,25.10044
world,2007,24.21303
world,2008,23.52867
world,2009,24.04783
world,2010,23.88794
world,2011,23.77269
world,2012,23.85608
world,2013,24.26276
world,2014,23.83335
world,2015,23.85774
world,2016,24.06434
world,2017,23.9644
world,2018,23.62761
world,2019,23.40851
world,2020,10.36022
world,2021,9.2256
