global,time,fs_ast_prvt_gd_zs
world,1960,208.39215
world,1961,200.03113
world,1962,55.99845
world,1963,58.79602
world,1964,60.41319
world,1965,62.31622
world,1966,61.63313
world,1967,64.3379
world,1968,65.6433
world,1969,65.07654
world,1970,69.50396
world,1971,73.07004
world,1972,78.41948
world,1977,73.11715
world,1981,73.92704
world,1982,76.75379
world,1983,81.45389
world,1984,84.15012
world,1985,88.81121
world,1986,100.08375
world,1988,111.4386
world,1989,116.91468
world,1993,123.16503
world,1994,121.18974
world,1995,121.64277
world,1996,121.439
world,1997,124.4248
world,1998,130.06
world,1999,139.45047
world,2000,135.01535
world,2001,123.96235
world,2002,121.08397
world,2003,124.85155
world,2004,124.6614
world,2005,125.32228
world,2006,127.95197
world,2007,128.18342
world,2008,120.2606
world,2009,124.91
world,2010,119.85687
world,2011,115.59044
world,2012,116.42604
world,2013,118.44553
world,2014,119.98685
world,2015,123.28807
world,2016,125.18859
world,2017,126.18393
world,2018,125.57351
world,2019,131.47421
world,2020,147.88127
