geo,time,gc_lbl_totl_cn
afg,2006,9723924059.3
afg,2007,12161664016.44
afg,2008,11305931076.5866
afg,2009,6601691288.02082
afg,2010,7714015111.14516
afg,2011,15314997074.4501
afg,2012,28665319682.6189
afg,2013,-25134276125
afg,2014,3393128197.8507
afg,2015,5426190944.27
afg,2016,2505196510.48
afg,2017,5066471432.17
ago,1999,-159297522.8
ago,2000,-14203183393
ago,2001,-8644066654
ago,2002,8821800614
ago,2003,156854000000
ago,2004,-4487850702
ago,2005,2882989485
ago,2006,-42184247156
ago,2007,129640000000
ago,2008,79440044054
ago,2009,106046000000
ago,2010,-196356000000
ago,2011,-175316000000
ago,2012,-172170000000
ago,2013,364325000000
ago,2014,762192761082.06006
ago,2015,928198990072.25903
ago,2016,3263299826654.83008
ago,2017,4137992887233.06982
alb,2002,35613720000
alb,2003,28603100000
alb,2004,21898230000
alb,2011,52295060000
alb,2012,56283260000
alb,2013,80113980000
alb,2014,46757790000
alb,2015,48044580000
alb,2016,44842950000
alb,2017,43153780000
alb,2018,56017350000
alb,2019,16195440000
alb,2020,103416600000
alb,2021,159435100000
are,2011,-4465255511.42
are,2012,-15780309945.9
are,2013,-33549254829
are,2014,117960138.54
are,2015,12380194608.7209
are,2016,8917206418.65073
are,2017,5983337534.38015
are,2018,873876741.6601
are,2019,-25356927136.3
are,2020,-1476380668.27175
are,2021,13685241015.0312
are,2022,24966349127.3801
arg,2002,11777800000
arg,2003,24341787550.17
arg,2004,9882076083.82
arg,2014,229577600000
arg,2015,232869800000
arg,2016,679134800000
arg,2017,827645800000
arg,2018,1654942600000
arg,2019,271210984070.67999
arg,2020,1180306011357.62012
arg,2021,1551481344082.22998
arg,2022,4738972697109.11035
arm,2004,40451169082.8
arm,2005,19585134863.48
arm,2006,33090017639
arm,2007,64710507852
arm,2013,143224423671.79999
arm,2014,83764546590
arm,2015,316804633570
arm,2016,409387352290
arm,2017,278726925500
arm,2018,209125860643.10001
arm,2019,233780383970.23697
arm,2020,353715285560
arm,2021,590855799690
arm,2022,318198591660
aus,1972,-665700000
aus,1973,-346800000
aus,1974,-363300000
aus,1975,1581600000
aus,1976,2046600000
aus,1977,1076400000
aus,1978,1665600000
aus,1979,1384200000
aus,1980,1052000000
aus,1981,-50800000
aus,1982,-802600000
aus,1983,3339800000
aus,1984,6250400000
aus,1985,5665900000
aus,1986,4898400000
aus,1987,2184000000
aus,1988,-2704000000
aus,1989,-8094000000
aus,1990,-7922000000
aus,1991,-1946000000
aus,1992,9511000000
aus,1993,14447000000
aus,1994,13636000000
aus,1999,-5199000000
aus,2000,-8604000000
aus,2005,697000000
aus,2006,8629000000
