geo,time,gc_lbl_totl_cn
afg,2006,9723924059.3
afg,2007,12161664016.44
afg,2008,11305931076.5866
afg,2009,6601691288.02082
afg,2010,7714015111.14516
afg,2011,15314997074.4501
afg,2012,28665319682.6189
afg,2013,-25134276125
afg,2014,3393128197.8507
afg,2015,5426190944.27
afg,2016,2505196510.48
afg,2017,5066471432.17
ago,1999,-159297522.8
ago,2000,-14203183393
ago,2001,-8644066654
ago,2002,8821800614
ago,2003,156854000000.00003
ago,2004,-4487850702
ago,2005,2882989485
ago,2006,-42184247156
ago,2007,129640000000
ago,2008,79440044054.00002
ago,2009,106046000000
ago,2010,-196356000000
ago,2011,-175316000000
ago,2012,-172169999999.99997
ago,2013,364324999999.99994
ago,2014,762192761082.05994
ago,2015,928198990072.25891
ago,2016,3263299826654.83008
ago,2017,4137992887233.06982
alb,1995,21367000000
alb,1996,35715807000
alb,1997,44174259999.99999
alb,1998,43303670000
alb,2002,35613720000
alb,2003,28603100000
alb,2004,21914173000
alb,2011,52464300000
alb,2012,56069800000
alb,2013,79945799999.99998
alb,2014,45343960000
alb,2015,48281700000
alb,2016,43267500000.00001
alb,2017,44163420000.00001
alb,2018,52495500000
are,2011,-4287215664.39
are,2012,-15488305322.16
are,2013,-31400943167.00001
are,2014,35960138.54
are,2015,12523047918.161
are,2016,10710882538.1207
are,2017,5983337534.38015
are,2018,363804731.3501
arg,2002,12289300000
arg,2003,22825084752.79
arg,2004,8777152998.94
arg,2014,221972100000
arg,2015,225813600000
arg,2016,510833300000
arg,2017,735134799999.99988
arg,2018,1606407800000.00024
arm,2004,40451169082.8
arm,2005,19585134863.48
arm,2006,33090017639
arm,2007,64710507852
arm,2008,68759800717
arm,2009,431534439390
arm,2010,124711826400
arm,2011,106778415383.56001
arm,2012,119791000000
arm,2013,143224423671.79996
arm,2014,83764546590
arm,2015,316804633570
arm,2016,409387352290
arm,2017,278726925500
arm,2018,209125860643.10001
aus,1972,-665700000
aus,1973,-346800000
aus,1974,-363300000
aus,1975,1581600000
aus,1976,2046600000
aus,1977,1076400000
aus,1978,1665600000
aus,1979,1384200000
aus,1980,1052000000
aus,1981,-50800000
aus,1982,-802600000
aus,1983,3339800000
aus,1984,6250400000
aus,1985,5665900000
aus,1986,4898400000
aus,1987,2184000000
aus,1988,-2704000000
aus,1989,-8094000000
aus,1990,-7922000000
aus,1991,-1946000000
aus,1992,9511000000
aus,1993,14447000000
aus,1994,13636000000
aus,1995,11641000000
aus,1996,4840000000
aus,1997,-2062000000
aus,1998,-16368000000
aus,1999,-5199000000
aus,2000,-8604000000
aus,2005,805000000
aus,2006,-1525000000
aus,2007,1255000000
