geo,time,sh_svr_wast_zs
afg,2004,3.5
afg,2013,4
ago,1996,3.3
ago,2007,4.3
ago,2016,1
alb,2000,6.2
alb,2005,3.7
alb,2009,5.9
arg,2005,0.2
arm,1998,1
arm,2000,0.7
arm,2005,2.6
arm,2010,2
arm,2016,1.5
aus,2007,0
aze,2000,4.1
aze,2006,2.2
aze,2011,2.9
aze,2013,1.1
bdi,1987,1.3
bdi,2000,1.6
bdi,2010,1.4
bdi,2016,0.9
ben,1996,4.6
ben,2001,3.1
ben,2006,3.1
ben,2014,0.9
bfa,1993,5.9
bfa,1999,5.5
bfa,2003,9.7
bfa,2006,12.1
bfa,2009,2.7
bfa,2010,5.9
bfa,2011,2.4
bfa,2012,1.8
bfa,2013,1.6
bfa,2014,1.8
bfa,2016,1.4
bgd,1991,2.6
bgd,1992,3
bgd,1993,2.5
bgd,1994,3.2
bgd,1995,2.7
bgd,1996,2.8
bgd,1997,6.6
bgd,1998,2.3
bgd,1999,2
bgd,2000,2.5
bgd,2001,2.3
bgd,2002,2.1
bgd,2003,2.1
bgd,2004,3.5
bgd,2005,1.9
bgd,2006,1.6
bgd,2007,2.9
bgd,2011,4.1
bgd,2012,1.6
bgd,2013,4.9
bgd,2014,3.1
bgr,2004,1.3
bih,2000,3.5
bih,2006,1.5
bih,2012,1.6
blr,2005,0.6
blz,2006,0.9
blz,2011,1.2
blz,2015,0.5
bol,1989,0.5
bol,1994,1.2
bol,1998,0.7
bol,2003,0.6
bol,2008,0.5
bol,2012,0.5
bol,2016,0.9
bra,1996,1
bra,2007,0.4
brb,2012,2
brn,2009,0.4
btn,1999,0.8
btn,2008,1.4
btn,2010,2
bwa,2000,2.7
bwa,2007,3.2
caf,1994,2.6
caf,2000,4.7
caf,2006,5.1
caf,2010,1.9
chn,1990,1.4
chn,1992,1.3
chn,1995,1.8
chn,1998,0.6
chn,2000,0.5
chn,2002,0.8
chn,2005,0.8
chn,2008,0.6
chn,2009,0.7
chn,2010,0.7
civ,1994,2.2
civ,1998,1.9
civ,2006,2.9
civ,2007,5.4
civ,2012,1.8
civ,2016,1.2
cmr,1991,1.1
cmr,1998,1.8
cmr,2004,2.3
cmr,2006,2.5
cmr,2011,1.9
cmr,2014,1.3
cod,2001,11.9
cod,2007,8.8
cod,2010,2.8
cod,2013,2.8
cog,2005,3
cog,2011,1.6
cog,2015,2.6
col,1986,0.3
col,1995,0.5
col,2000,0.4
col,2005,0.4
col,2010,0.2
com,1996,4.5
com,2000,7.2
com,2012,4.4
cze,2001,1
deu,2005,0.1
dji,2002,9.5
dji,2006,15.9
dji,2012,9.1
dom,1986,1
dom,1991,0.6
dom,1996,0.6
dom,2000,0.5
dom,2002,0.8
dom,2007,0.9
dom,2013,0.8
dza,1992,3
dza,1995,4.2
dza,2000,1.1
dza,2002,5.1
dza,2005,1.6
dza,2012,1.4
ecu,2004,0.8
