global,time,sh_hiv_incd_tl_p3
world,1990,0.37
world,1991,0.41
world,1992,0.45
world,1993,0.47
world,1994,0.49
world,1995,0.49
world,1996,0.48
world,1997,0.48
world,1998,0.48
world,1999,0.47
world,2000,0.45
world,2001,0.43
world,2002,0.42
world,2003,0.4
world,2004,0.38
world,2005,0.37
world,2006,0.36
world,2007,0.35
world,2008,0.34
world,2009,0.33
world,2010,0.32
world,2011,0.3
world,2012,0.29
world,2013,0.28
world,2014,0.27
world,2015,0.26
world,2016,0.25
world,2017,0.24
world,2018,0.23
world,2019,0.22
