geo,time,sp_reg_brth_ma_zs
afg,2015,42.7
ago,2016,24.8
alb,2009,99.4
alb,2018,98.9
and,2020,100
are,2018,100
arg,2020,99.97
arm,2005,96.6
arm,2010,100
arm,2016,99.6
aus,2019,100
aut,2019,100
aze,2006,93.4
bdi,2010,75.4
bdi,2017,83.7
bel,2019,100
ben,2006,53.5
ben,2012,80.6
ben,2018,85.4
bfa,2010,77
bgd,2011,30.5
bgd,2014,20.3
bgd,2018,25.4
bgd,2019,56
bgr,2019,100
bhr,2019,100
bih,2006,99.7
blr,2019,100
blz,2016,95.3
bol,2003,76.6
bol,2008,76.4
brb,2012,98.8
btn,2010,100
bwa,2017,86.7
caf,2019,45.5
can,2019,100
che,2019,100
civ,2005,48.6
civ,2012,65.2
civ,2016,75.2
cmr,2011,62.4
cmr,2018,62.1
cod,2007,31
cod,2014,24.4
cod,2018,40.3
cog,2005,76.3
cog,2012,91
cog,2015,96
col,2015,96.5
com,2012,87.4
cri,2013,99.6
cub,2019,99.6
cyp,2019,100
cze,2020,100
deu,2020,100
dji,2006,92.7
dnk,2019,100
dom,2007,77.7
dom,2013,83.9
dom,2019,91.74
dza,2019,99.7
egy,2014,99.5
esp,2020,100
est,2020,100
eth,2005,6.4
eth,2016,2.7
fin,2020,100
fji,2021,86.83
fra,2019,100
gab,2012,91
gbr,2020,100
geo,2017,98.5
gha,2008,72.2
gha,2014,70.8
gha,2018,72.04
gin,2012,58.4
gin,2018,62.4
gmb,2013,73.3
gmb,2020,60.3
gnb,2019,47.1
gnq,2011,53.3
grc,2020,100
guy,2005,95.3
guy,2009,88.2
guy,2014,88.4
hnd,2006,93.2
hnd,2012,93.6
hnd,2019,97.07
hrv,2019,100
hti,2006,80.5
hti,2012,79.8
hti,2017,84.2
hun,2020,100
idn,2007,50.4
idn,2012,66.3
idn,2017,78.2
ind,2006,41
ind,2016,79.4
ind,2021,88.8
irl,2020,100
irn,2010,98.7
irq,2018,98.8
isl,2020,100
isr,2020,100
ita,2020,100
jor,2012,99.3
jor,2018,98.3
jpn,2019,100
kaz,2015,99.7
ken,2009,60.9
ken,2014,67.4
kgz,2012,98.2
kgz,2018,99.5
khm,2005,66.7
khm,2010,62
khm,2014,73.7
kir,2019,92.9
lao,2017,72.8
lbn,2016,99.8
lbr,2007,3.2
lbr,2013,24.8
lbr,2020,67.1
lca,2012,91.4
lie,2020,100
lka,2007,97.4
lso,2009,45.9
lso,2014,42.4
lso,2018,45.5
ltu,2020,100
lux,2020,100
lva,2020,100
mar,2018,96.8
mco,2020,100
mda,2012,99.2
mdg,2009,80.3
mdg,2018,78.7
mdg,2021,73
mdv,2009,92.8
mdv,2017,98.5
mex,2020,97.05
mhl,2017,85.1
mkd,2019,99.7
mli,2006,55.2
mli,2013,85.1
mli,2018,87.8
mlt,2020,100
mmr,2016,81.9
mne,2013,99.6
mng,2018,99.6
moz,2011,47.8
moz,2015,53.9
mrt,2015,65.6
mrt,2021,45.3
mwi,2014,5.8
mwi,2016,67.2
nam,2007,65.7
nam,2013,65.4
ner,2006,32.2
ner,2012,65.4
nga,2008,29.6
nga,2013,30.8
nga,2018,43.4
nld,2020,100
nor,2020,100
npl,2006,36
npl,2011,44
npl,2016,57.1
npl,2019,76.3
nzl,2020,100
omn,2018,100
pak,2007,26.4
pak,2013,34.1
pak,2018,42.5
pan,2019,96.8
per,2006,92.8
per,2008,94.1
phl,2017,92.3
png,2018,13.3
pol,2018,100
prk,2009,100
prt,2020,100
pry,2018,71.24
pse,2020,99.4
qat,2020,100
rou,2020,100
rus,2020,100
rwa,2005,81.8
rwa,2010,63.6
rwa,2015,56
rwa,2020,85.8
sau,2018,99.5
sdn,2014,68.8
sen,2005,55.5
sen,2011,75
sen,2013,74.1
sen,2014,74.7
sen,2015,69.8
sen,2016,71.5
sen,2017,79.1
sen,2018,78
sen,2019,80.3
slb,2015,87.2
sle,2008,52
sle,2013,76.2
sle,2019,90.3
slv,2018,91
smr,2020,100
som,2006,3.3
srb,2019,99.8
ssd,2010,34.9
stp,2009,74.6
stp,2019,98.76
sur,2018,98.1
svk,2020,100
svn,2020,100
swe,2019,100
swz,2007,29.8
swz,2014,50.9
syr,2006,96.3
tca,2020,99.44
tcd,2004,9.5
tcd,2015,12
tcd,2019,25.9
tgo,2017,83.9
tha,2019,99.7
tjk,2012,82.9
tjk,2017,95.9
tkm,2019,99.8
tls,2010,54.8
tls,2016,59.8
ton,2019,97.3
tto,2011,96.5
tun,2018,99.9
tur,2018,98.2
tuv,2020,85.42
tza,2008,21.3
tza,2010,16.6
tza,2012,20
tza,2016,27.8
uga,2006,21.4
uga,2011,29.9
uga,2016,32.2
ukr,2012,99.9
ury,2013,99.9
usa,2019,100
uzb,2006,99.9
vnm,2005,92.5
vnm,2014,95.9
vut,2013,44
wsm,2020,66.97
yem,2013,31.1
zmb,2007,14
zmb,2014,11.7
zmb,2018,14.1
zwe,2006,73.9
zwe,2011,48.3
zwe,2015,42.8
zwe,2019,48.4
