geo,time,ne_imp_gnfs_kn
ago,2000,59966550900
ago,2001,153737890600
ago,2002,320827000000
ago,2003,351915136300
ago,2004,377006685500
ago,2005,422058984400
ago,2006,448859729900
ago,2007,482973069400
ago,2008,570729276100
ago,2009,568021538900
ago,2010,501345818300
ago,2011,556243395000
ago,2012,555745790200
ago,2013,580079951000
ago,2014,550156629600
ago,2015,418612412200
ago,2016,315052301600
ago,2017,319652000000
ago,2018,265600000000
ago,2019,265552000000
ago,2020,203566210800
alb,1996,145210000000
alb,1997,132590000000
alb,1998,157750000000
alb,1999,182083000000
alb,2000,272288000000
alb,2001,313735000000
alb,2002,344532000000
alb,2003,362199000000
alb,2004,391958000000
alb,2005,455436000000
alb,2006,495087000000
alb,2007,591063000000
alb,2008,612473000000
alb,2009,605490000000
alb,2010,602021000000
alb,2011,639263000000
alb,2012,596470000000
alb,2013,592631000000
alb,2014,617870000000
alb,2015,600105000000
alb,2016,641633000000
alb,2017,695246000000
alb,2018,711911000000
alb,2019,733233594700
alb,2020,588112078800
are,2001,259191315800
are,2002,292726351800
are,2003,339529546000
are,2004,440498634800
are,2005,506285542200
are,2006,598405675500
are,2007,804619309700
are,2008,976792637400
are,2009,823882634200
are,2010,655948000000
are,2011,780627547100
are,2012,847482454500
are,2013,915502779500
are,2014,1005815222400
are,2015,948264235800
are,2016,973421898300
are,2017,1002166000000
are,2018,1111763000000
are,2019,1151239000000
arg,1960,14546306399.4366
arg,1961,17190372927.2618
arg,1962,17190372927.2618
arg,1963,13222250913.5235
arg,1964,15868339712.6368
arg,1965,15868339712.6368
arg,1966,14546325424.4601
arg,1967,14546325424.4601
arg,1968,15868339712.6368
arg,1969,19834408699.6084
arg,1970,16096850650.826
arg,1971,18014585940.3456
arg,1972,17137317952.4564
arg,1973,16912898380.0879
arg,1974,17830980859.4811
arg,1975,18157378008.3348
arg,1976,14342314576.4724
arg,1977,19667145818.2674
arg,1978,18647028588.743
arg,1979,28827277695.36769
arg,1980,42190516651.1996
arg,1981,38714471943.4152
arg,1982,22229860359.5418
arg,1983,20690725799.2326
arg,1984,21664247493.0433
arg,1985,18839678146.09909
arg,1986,22205846738.20729
arg,1987,24756225473.912
arg,1988,22476661048.5018
arg,1989,18764261079.7258
arg,1990,18407755697.4523
arg,1991,33144213200
arg,1992,54914645400
arg,1993,63045642300
arg,1994,76367838000
arg,1995,68878726600
arg,1996,80952541200
arg,1997,102705746300
arg,1998,111347334500
arg,1999,98802087300
arg,2000,98646406200
arg,2001,84888604200
arg,2002,42393747600
arg,2003,58319116400
arg,2004,81717784000
arg,2005,94668607900
arg,2006,105074451500
arg,2007,125711372500
arg,2008,142760583900
arg,2009,116469167500
arg,2010,157471459300
arg,2011,192160243300
arg,2012,183074401200
arg,2013,190182962300
arg,2014,168349967900
arg,2015,176281471600
arg,2016,186548391900
arg,2017,215619712000
arg,2018,205867879400
arg,2019,166754732500
arg,2020,136511225100
arm,1994,1355309436500
arm,1995,958515273200
arm,1996,954459115900
arm,1997,1068146793500
arm,1998,1012829875200
arm,1999,995602930200
arm,2000,1065526703500
arm,2001,1138707516400
arm,2002,1346509373000
arm,2003,1715566923800
arm,2004,1659488010700
arm,2005,1894418837600
arm,2006,1965667309800
arm,2007,2221101659700
arm,2008,2382755936000
arm,2009,1926371821700
arm,2010,2172947492900
arm,2011,2122970400100
arm,2012,2064961100000
arm,2013,2064466700000
arm,2014,2008811314300
arm,2015,1702466567300
arm,2016,1809925587300
arm,2017,2255442029800
arm,2018,2555126661000
arm,2019,2861952654200
arm,2020,1943265852201.80005
asm,2002,1053000000
asm,2003,1046000000
asm,2004,911000000
asm,2005,912000000
asm,2006,878000000
asm,2007,845000000
asm,2008,863000000
asm,2009,751000000
asm,2010,668000000
asm,2011,621000000
asm,2012,646000000
asm,2013,673000000
asm,2014,753000000
asm,2015,780000000
asm,2016,755000000
asm,2017,668000000
asm,2018,663000000
asm,2019,630000000
aus,1960,15082000000
aus,1961,16969000000
aus,1962,14550000000
aus,1963,17071000000
aus,1964,18989000000
aus,1965,22613000000
aus,1966,23235000000
aus,1967,23627000000
aus,1968,25963000000
aus,1969,26859000000
aus,1970,29098000000
aus,1971,29990000000
aus,1972,27598000000
aus,1973,27947000000
aus,1974,36425000000
aus,1975,37362000000
aus,1976,35530000000
aus,1977,38912000000
aus,1978,37089000000
aus,1979,40082000000
aus,1980,40122000000
aus,1981,43916000000
aus,1982,48996000000
aus,1983,44861000000
aus,1984,47547000000
aus,1985,55459000000
aus,1986,55329000000
aus,1987,52712000000
aus,1988,58629000000
aus,1989,73217000000
aus,1990,77330000000
aus,1991,72910000000
aus,1992,75461000000
aus,1993,80437000000
aus,1994,86471000000
aus,1995,100603000000
aus,1996,105318000000
aus,1997,115738000000
aus,1998,127597000000
aus,1999,134121000000
aus,2000,150280000000
aus,2001,148815000000
aus,2002,150823000000
aus,2003,170727000000
aus,2004,193774000000
aus,2005,217995000000
aus,2006,235727000000
aus,2007,260631000000
aus,2008,298273000000
aus,2009,288059000000
aus,2010,308623000000
aus,2011,340309000000
aus,2012,378973000000
aus,2013,380011000000
aus,2014,371146000000
aus,2015,374724000000
aus,2016,374279000000
aus,2017,392345000000
aus,2018,420880000000
aus,2019,421769000000
aus,2020,390776000000
aut,1970,23217871000
aut,1971,24677699000
aut,1972,27675115000
aut,1973,30318945000
aut,1974,32412588000
aut,1975,30905811000
aut,1976,36288835000
aut,1977,39352125000
aut,1978,38955337000
aut,1979,42946659000
aut,1980,45397929000
aut,1981,45122666000
aut,1982,43485191000
aut,1983,45301528000
aut,1984,48311050000
aut,1985,50986489000
aut,1986,49180934000
aut,1987,51066053000
aut,1988,55887949000
aut,1989,61565250000
aut,1990,66478360000
aut,1991,69878306000
aut,1992,71357008000
aut,1993,67439885000
aut,1994,74407457000
aut,1995,78801130000
aut,1996,82087830000
aut,1997,88055780000
aut,1998,93125730000
aut,1999,96910180000
aut,2000,106781710000
aut,2001,112326160000
aut,2002,112652830000
aut,2003,116604030000
aut,2004,125903370000
aut,2005,132771450000
aut,2006,140544630000
aut,2007,148464300000
aut,2008,149881030000
aut,2009,132046360000
aut,2010,147851670000
aut,2011,156655160000
aut,2012,158102070000
aut,2013,159199380000
aut,2014,163906300000
aut,2015,169856430000
aut,2016,176184840000
aut,2017,185608780000
aut,2018,194945420000
aut,2019,199717040000
aut,2020,179267960000
aze,1994,921454200
aze,1995,1086215100
aze,1996,1590669700
aze,1997,2036648900
aze,1998,2443019800
aze,1999,1938839000
aze,2000,2088844600
aze,2001,2305165000
aze,2002,3401863400
aze,2003,4870193200
aze,2004,6051779600
aze,2005,6624500000
aze,2006,7600190700
aze,2007,8410147700
aze,2008,9615132100
aze,2009,9107955500
aze,2010,9230594100
aze,2011,12515555300
aze,2012,12790897400
aze,2013,14069987100
aze,2014,14651198900
bdi,1997,61863231300
bdi,1998,85796352900
bdi,1999,78193050700
bdi,2000,88066975400
bdi,2001,103140521900
bdi,2002,120811287400
bdi,2003,169848266300
bdi,2004,215930325500
bdi,2005,349182516000
bdi,2006,449600568000
bdi,2007,437450518000
bdi,2008,534710554400
bdi,2009,434611403500
bdi,2010,488546676400
bdi,2011,538052479700
bdi,2012,602938597100
bdi,2013,677325048000
bdi,2014,638818324000
bdi,2015,1025735455500
bdi,2016,837773709700
bdi,2017,1044446799500
bdi,2018,747726906300
bdi,2019,838201936700
bdi,2020,913238500200
bel,1970,51818692000
bel,1971,53707256000
bel,1972,58846545000
bel,1973,69784063000
bel,1974,72866030000
bel,1975,66248052000
bel,1976,74453212000
bel,1977,78005319000
bel,1978,80086742000
bel,1979,87259225000
bel,1980,85582981000
bel,1981,83926776000
bel,1982,85063770000
bel,1983,84015588000
bel,1984,89386301000
bel,1985,89750334000
bel,1986,93868889000
bel,1987,100207754000
bel,1988,110649559000
bel,1989,121375369000
bel,1990,127284812000
bel,1991,130924169000
bel,1992,136314401000
bel,1993,135822517000
bel,1994,145710952000
bel,1995,152489000000
bel,1996,160958400000
bel,1997,174160700000
bel,1998,182970000000
bel,1999,189142100000
bel,2000,213759900000
bel,2001,212145000000
bel,2002,214385200000
bel,2003,217514100000
bel,2004,231232000000
bel,2005,246092300000
bel,2006,258746000000
bel,2007,273182300000
bel,2008,283576900000
bel,2009,252783600000
bel,2010,277273200000
bel,2011,292869900000
bel,2012,290893600000
bel,2013,290271500000
bel,2014,306318500000
bel,2015,318306800000
bel,2016,342025700000
bel,2017,359876400000
bel,2018,364409000000
bel,2019,367189300000
bel,2020,351454300000
ben,1960,111793689164.496
ben,1961,90532468064.8512
ben,1962,94647022150.82401
ben,1963,117965934457.203
ben,1964,128939571545.241
ben,1965,163916902200.418
ben,1966,210554347231.22501
ben,1967,262678408455.80896
ben,1968,277080482997.65399
ben,1969,301084758964.30798
ben,1970,325776676199.77197
ben,1971,389764048478.94098
ben,1972,420623604384.66803
ben,1973,415338185200.82098
ben,1974,420453048131.73499
ben,1975,446024501960.44202
ben,1976,416657578531.29498
ben,1977,456312851561.62201
ben,1978,482404048531.33398
ben,1979,614989884879.604
ben,1980,725503807597.22095
ben,1981,794009020332.77185
ben,1982,609035454084.77502
ben,1983,450446357018.38898
ben,1984,450979439853.80298
ben,1985,532006482834.04895
ben,1986,460108220220.60205
ben,1987,421788236230.52197
ben,1988,435627764012.51898
ben,1989,335252188263.90802
ben,1990,453832471026.27295
ben,1991,572979176600
ben,1992,683496203400
ben,1993,740488148800
ben,1994,652307439700
ben,1995,688224238500
ben,1996,616217204300
ben,1997,686683005200
ben,1998,754513228500
ben,1999,879849698700
ben,2000,786739134000
ben,2001,892530590600
ben,2002,861804815000
ben,2003,905913648000
ben,2004,871473061100
ben,2005,833055281600
ben,2006,894905156500
ben,2007,1166080926300
ben,2008,1215217317600
ben,2009,1272840460800
ben,2010,1366389411500
ben,2011,1303991915300
ben,2012,1452155251300
ben,2013,1898998017900
ben,2014,2177993031700
ben,2015,2156915000000
ben,2016,2228165000000
ben,2017,2547310250000
ben,2018,2670566598800
ben,2019,2761204238900
ben,2020,2214684470700
bfa,1965,221656214016.82199
bfa,1966,226056006887.68695
bfa,1967,270097484014.57199
bfa,1968,308260211758.94293
bfa,1969,325879225831.41101
bfa,1970,287713889113.77802
bfa,1971,343553452759.841
bfa,1972,367044493209.19507
bfa,1973,381723154301.98798
bfa,1974,392002825273.14093
bfa,1975,463946223244.16895
bfa,1976,422839028487.75598
bfa,1977,532949218322.0661
bfa,1978,534416459716.98499
bfa,1979,539225118659.23999
bfa,1980,593546517396.31702
bfa,1981,636629433555.91504
bfa,1982,622267474716.76099
bfa,1983,542490878584.85498
bfa,1984,505259669738.67603
bfa,1985,630641211869.72107
bfa,1986,669494840135.15295
bfa,1987,651085813495.26099
bfa,1988,667385464124.60205
bfa,1989,587213121504.68604
bfa,1990,619914419838.08606
bfa,1991,614576861700
bfa,1992,540662257600
bfa,1993,574451055500
bfa,1994,490939553400
bfa,1995,550700808400
bfa,1996,614360224700
bfa,1997,621086758000
bfa,1998,756464456700
bfa,1999,686827505000
bfa,2000,657642686800
bfa,2001,588517265100
bfa,2002,619806889100
bfa,2003,620479216900
bfa,2004,751792211400
bfa,2005,811577188400
bfa,2006,830865498600
bfa,2007,865442015100
bfa,2008,1015623080500
bfa,2009,1143539136000
bfa,2010,1429393463600
bfa,2011,1718308934200
bfa,2012,2036425925800
bfa,2013,2278205033100
bfa,2014,2075337305500
bfa,2015,2307161000000
bfa,2016,2476078000000
bfa,2017,2726333432400
bfa,2018,3176502782500
bfa,2019,3496189830300
bgd,1960,221390736200
bgd,1961,292930658400
bgd,1962,290674112500
bgd,1963,339934970300
bgd,1964,395400403600
bgd,1965,393804462300
bgd,1966,409789995600
bgd,1967,478785577700
