global,time,en_atm_co2e_eg_zs
world,1960,2.96149
world,1961,2.94515
world,1962,2.9216
world,1963,2.90109
world,1964,2.90569
world,1965,2.90043
world,1966,2.87873
world,1967,2.84278
world,1968,2.82203
world,1969,2.81317
world,1970,2.85501
world,1971,2.67485
world,1972,2.67067
world,1973,2.6741
world,1974,2.64202
world,1975,2.61414
world,1976,2.60931
world,1977,2.59774
world,1978,2.59388
world,1979,2.60173
world,1980,2.58523
world,1981,2.53798
world,1982,2.52013
world,1983,2.51627
world,1984,2.49979
world,1985,2.50689
world,1986,2.50032
world,1987,2.49727
world,1988,2.51374
world,1989,2.52014
world,1990,2.63174
world,1991,2.63925
world,1992,2.50484
world,1993,2.50504
world,1994,2.49714
world,1995,2.48131
world,1996,2.49003
world,1997,2.47624
world,1998,2.45084
world,1999,2.43833
world,2000,2.45509
world,2001,2.44446
world,2002,2.44907
world,2003,2.4844
world,2004,2.49051
world,2005,2.50624
world,2006,2.52259
world,2007,2.49703
world,2008,2.56187
world,2009,2.51464
world,2010,2.54218
world,2011,2.5956
world,2012,2.59421
world,2013,2.57351
world,2014,2.56771
world,2015,2.3362
