geo,time,gc_tax_gsrv_va_zs
afg,2006,2.51372
afg,2007,2.05527
afg,2008,2.16657
afg,2009,3.28637
afg,2010,3.62476
afg,2011,3.39613
afg,2012,2.90669
afg,2013,2.32792
afg,2014,1.98239
afg,2015,1.9109
afg,2016,4.56411
afg,2017,5.17074
ago,1999,2.02822
ago,2000,1.72999
ago,2001,9.55643
ago,2002,2.02622
ago,2003,2.43084
ago,2004,2.24184
ago,2005,1.66463
ago,2006,1.71894
ago,2007,1.92317
ago,2008,2.18593
ago,2009,2.88067
ago,2010,2.23281
ago,2011,1.70268
ago,2012,1.40675
ago,2013,1.59535
ago,2014,1.71796
ago,2015,1.39707
ago,2016,1.41432
ago,2017,1.36975
alb,1996,8.34697
alb,1997,9.45356
alb,1998,15.49458
alb,2002,15.87882
alb,2003,17.05613
alb,2004,18.01335
alb,2011,19.57981
alb,2012,19.17993
alb,2013,18.21181
alb,2014,20.87482
alb,2015,20.49277
alb,2016,20.86042
alb,2017,20.64661
alb,2018,20.02389
are,1997,1.01263
are,1998,1.09986
are,1999,1.14926
are,2011,0.32318
are,2012,0.36577
are,2013,0.36343
are,2014,0.34729
are,2015,0.04832
are,2016,0.03413
are,2017,0.0632
are,2018,0.05792
arg,1990,2.48283
arg,1991,3.29348
arg,1992,3.91663
arg,1993,5.78719
arg,1994,5.6188
arg,1995,5.77777
arg,1996,5.8208
arg,1997,6.29451
arg,1998,6.51381
arg,1999,6.57926
arg,2000,6.95157
arg,2001,6.68481
arg,2002,6.17903
arg,2003,7.04645
arg,2004,8.13861
arg,2005,8.05513
arg,2006,7.95189
arg,2007,7.93091
arg,2008,7.86668
arg,2009,7.84795
arg,2010,7.93984
arg,2011,7.77996
arg,2012,8.02624
arg,2013,8.07522
arg,2014,7.98369
arg,2015,7.85636
arg,2016,7.44519
arg,2017,7.44505
arg,2018,7.60427
arm,2012,13.25924
arm,2013,13.75304
arm,2014,15.18084
arm,2015,12.68459
arm,2016,11.78593
arm,2017,11.47417
arm,2018,11.7533
aus,1990,5.94316
aus,1991,5.79446
aus,1992,5.19908
aus,1993,4.97223
aus,1994,5.33204
aus,1995,5.60995
