geo,time,nv_agr_totl_kd_zg
afg,2003,2.79831
afg,2004,-22.23636
afg,2005,17.6981
afg,2006,-5.10925
afg,2007,14.70045
afg,2008,-14.91633
afg,2009,44.56295
afg,2010,-6.37513
afg,2011,-7.59232
afg,2012,18.22479
afg,2013,0.00527
afg,2014,-0.10071
afg,2015,-5.65722
afg,2016,5.97175
afg,2017,6.41106
afg,2018,-4.41531
afg,2019,17.45982
ago,2003,8.02284
ago,2004,9.0731
ago,2005,4.54913
ago,2006,16.30311
ago,2007,5.57732
ago,2008,4.75297
ago,2009,5.73263
ago,2010,8.53791
ago,2011,9.15619
ago,2012,7.11038
ago,2013,4.01967
ago,2014,17.32368
ago,2015,10.21425
ago,2016,3.88721
ago,2017,0.4704
ago,2018,-7.57424
ago,2019,-4.40891
alb,1997,-17.11228
alb,1998,6.23379
alb,1999,5.39533
alb,2000,6.69543
alb,2001,2.69307
alb,2002,2.04775
alb,2003,2.94358
alb,2004,6.30795
alb,2005,0.67857
alb,2006,3.1185
alb,2007,2.71633
alb,2008,7.07148
alb,2009,1.90488
alb,2010,7.64992
alb,2011,4.77304
alb,2012,5.39426
alb,2013,1.13505
alb,2014,1.96196
alb,2015,0.76784
alb,2016,2.04739
alb,2017,0.83534
alb,2018,1.17693
alb,2019,0.39022
are,2002,3.21028
are,2003,-3.11661
are,2004,-1.97085
are,2005,-4.01359
are,2006,-8.64192
are,2007,-1.84234
are,2008,-10.89171
are,2009,-0.41062
are,2010,-10.80988
are,2011,5.33442
are,2012,2.27123
are,2013,0.51732
are,2014,-0.16613
are,2015,1.31608
are,2016,3.42592
are,2017,3.31101
are,2018,5.40133
are,2019,2.67054
arg,1966,0.91748
arg,1967,2.54552
arg,1968,-4.25537
arg,1969,4.4445
arg,1970,-9.29089
arg,1971,1.57362
arg,1972,1.92422
arg,1973,10.71474
arg,1974,2.7284
arg,1975,-2.74721
arg,1976,4.71964
arg,1977,2.44491
arg,1978,2.7844
arg,1979,2.86384
arg,1980,-6.00653
arg,1981,3.4941
arg,1982,7.47822
arg,1983,2.02751
arg,1984,0.35831
arg,1985,-1.69512
arg,1986,0.17873
arg,1987,-2.72799
arg,1988,7.86617
arg,1989,-8.21772
arg,1990,8.48051
arg,1991,4.09315
arg,1992,0.188
arg,1993,2.42567
arg,1994,7.27759
arg,1995,5.5525
arg,1996,-0.89009
arg,1997,0.60891
arg,1998,8.29608
arg,1999,2.37435
arg,2000,-1.76588
arg,2001,1.49113
arg,2002,-2.65051
arg,2003,6.77042
arg,2004,0.38332
arg,2005,18.78848
arg,2006,-0.52555
arg,2007,8.53758
arg,2008,-2.18582
arg,2009,-26.10146
arg,2010,39.52398
arg,2011,-2.42848
arg,2012,-12.87515
arg,2013,11.47662
arg,2014,3.10425
arg,2015,7.54196
arg,2016,-4.71694
arg,2017,3.44506
arg,2018,-15.02224
arg,2019,21.26856
arm,1991,-2
arm,1992,-8.7
arm,1993,-5.8
arm,1994,3.1
arm,1995,4
arm,1996,1.99469
arm,1997,-4.49954
arm,1998,12.85924
arm,1999,1.4
arm,2000,-1.1
arm,2001,12.13713
arm,2002,3.86902
arm,2003,4.2133
arm,2004,14.53795
arm,2005,11.27815
arm,2006,0.4836
arm,2007,10.30001
arm,2008,3
arm,2009,5.92255
arm,2010,-15.90578
arm,2011,14
arm,2012,9.5
arm,2013,7.6
arm,2014,6.1
arm,2015,13.2
arm,2016,-5
arm,2017,-5.1
arm,2018,-8.5
arm,2019,-4
atg,1978,14.10048
atg,1979,-27.38748
atg,1980,-5.3431
atg,1981,-18.26165
atg,1982,-16.53919
atg,1983,-2.03738
atg,1984,-6.14383
atg,1985,-4.36283
atg,1986,6.96269
atg,1987,14.52543
atg,1988,6.29133
atg,1989,5.20414
atg,1990,6.09048
atg,1991,3.48063
atg,1992,4.32875
atg,1993,4.06504
atg,1994,-1.2931
atg,1995,-8.37882
atg,1996,-2.0852
atg,1997,4.95893
atg,1998,4.26087
atg,1999,3.28051
atg,2000,3.33782
atg,2001,-2.13597
atg,2002,12.03088
atg,2003,5.98717
atg,2004,-1.95024
atg,2005,11.70553
atg,2006,5.68973
atg,2007,-0.92951
atg,2008,-6.88038
atg,2009,-14.04282
atg,2010,1.63614
atg,2011,13.62326
atg,2012,1.52252
atg,2013,7.70673
atg,2014,-16.94063
atg,2015,2.60768
atg,2016,3.74404
atg,2017,14.96063
atg,2018,1.06545
atg,2019,2.67319
aus,1976,8.2726
aus,1977,2.67243
aus,1978,-3.27315
aus,1979,21.70966
aus,1980,-12.2974
aus,1981,-12.33
aus,1982,16.35587
aus,1983,-21.86092
aus,1984,43.29707
aus,1985,0.19499
aus,1986,-6.98522
aus,1987,1.07283
aus,1988,-2.15811
aus,1989,4.41143
aus,1990,8.19142
aus,1991,5.54692
aus,1992,-5.30826
aus,1993,5.25896
aus,1994,4.14015
aus,1995,-14.651
aus,1996,21.14639
aus,1997,8.08035
aus,1998,0.55331
aus,1999,10.29326
aus,2000,6.71773
aus,2001,3.83357
aus,2002,3.15703
aus,2003,-21.60261
aus,2004,25.51498
aus,2005,4.2843
aus,2006,2.85729
aus,2007,-15.04014
aus,2008,8.09402
aus,2009,17.08163
aus,2010,-0.74882
aus,2011,3.4669
aus,2012,0.97372
aus,2013,-0.7287
aus,2014,1.14503
aus,2015,1.42541
aus,2016,-7.39106
aus,2017,9.55862
aus,2018,-2.66681
aus,2019,-10.12864
aut,1977,-2.21617
aut,1978,1.35069
aut,1979,3.21177
aut,1980,-2.25382
aut,1981,-3.80092
aut,1982,6.75796
aut,1983,-3.45471
aut,1984,0.25025
aut,1985,-3.34913
aut,1986,2.05753
aut,1987,-1.04093
aut,1988,3.05157
aut,1989,-0.50158
aut,1990,7.62293
aut,1991,-2.9852
aut,1992,-2.07495
aut,1993,-1.83034
aut,1994,7.80158
aut,1995,0.27216
aut,1996,-0.05694
aut,1997,0.31519
aut,1998,5.14758
aut,1999,4.8735
aut,2000,-3.59839
aut,2001,-0.6822
aut,2002,-1.61613
aut,2003,-2.45755
aut,2004,8.58036
aut,2005,-2.31038
aut,2006,-1.49533
aut,2007,9.42313
aut,2008,7.17584
aut,2009,-6.60685
aut,2010,-5.0765
aut,2011,14.25429
aut,2012,-7.23449
aut,2013,-2.97954
aut,2014,2.77967
aut,2015,2.09813
aut,2016,2.24424
aut,2017,5.26377
aut,2018,3.52831
aut,2019,-0.77437
aze,1993,-16.29999
aze,1994,-12.8
aze,1995,-7
aze,1996,3
aze,1997,-6.9
aze,1998,6.20001
aze,1999,7.09999
aze,2000,19.58734
aze,2001,11.1
aze,2002,6.39947
aze,2003,5.60874
aze,2004,4.99557
aze,2005,7.49812
aze,2006,0.89917
aze,2007,3.99723
aze,2008,6.11481
aze,2009,3.48883
aze,2010,-2.18182
aze,2011,5.77757
aze,2012,6.61151
aze,2013,4.88977
aze,2014,-2.58626
aze,2015,6.58691
aze,2016,2.60436
aze,2017,4.2038
aze,2018,4.59451
aze,2019,7.33619
bdi,1966,4.45764
bdi,1967,-4.06316
bdi,1968,-4.84458
bdi,1969,-0.2813
bdi,1970,39.73625
bdi,1971,19.24797
bdi,1972,-9.95398
bdi,1973,12.02238
bdi,1974,-4.0024
bdi,1975,4.6106
bdi,1976,3.64312
bdi,1977,4.09603
bdi,1978,-2.67676
bdi,1979,1.47925
bdi,1980,1.27811
bdi,1981,14.10732
bdi,1982,-7.58703
bdi,1983,4.39181
bdi,1984,-3.61516
bdi,1985,13.12855
bdi,1986,4.1284
bdi,1987,5.19788
bdi,1988,1.58669
bdi,1989,-2.17287
bdi,1990,5.56625
bdi,1991,2.12973
bdi,1992,3.14
bdi,1993,-4.38
bdi,1994,-9.73
bdi,1995,-6.77
bdi,1996,1.51
bdi,1997,3.33
bdi,1998,1.93
bdi,1999,-1.04
bdi,2000,-5.17865
bdi,2001,-3.44294
bdi,2002,4.23439
bdi,2003,-3.51383
bdi,2004,-0.23934
bdi,2005,-6.56041
bdi,2006,3.18917
bdi,2007,-9.33898
bdi,2008,1.96416
bdi,2009,-1.17695
bdi,2010,1.61569
bdi,2011,-1.35817
bdi,2012,2.13425
bdi,2013,8.41591
bdi,2014,-3.57969
bdi,2015,-3
bdi,2016,-2.2
bdi,2017,0.3
bdi,2018,2.99998
bdi,2019,3.09999
bel,1996,0
bel,1997,2.86413
bel,1998,3.21676
bel,1999,0.6721
bel,2000,6.63039
bel,2001,-7.11008
bel,2002,10.3781
bel,2003,-3.29165
bel,2004,7.18363
bel,2005,-2.71961
bel,2006,8.86806
bel,2007,-0.27051
bel,2008,0.60743
bel,2009,-6.1705
bel,2010,10.76487
bel,2011,2.03873
bel,2012,0.17187
bel,2013,-14.18001
bel,2014,0.24158
bel,2015,18.84738
bel,2016,-7.11464
bel,2017,4.34734
bel,2018,-15.17152
bel,2019,-1.68389
ben,1971,-3.6504
ben,1972,3.41956
ben,1973,13.88179
ben,1974,-14.38686
ben,1975,-5.40783
ben,1976,11.24022
ben,1977,-0.43564
ben,1978,10.49911
ben,1979,4.74988
ben,1980,3.09939
ben,1981,-7.18457
ben,1982,1.89563
ben,1983,0
ben,1984,19.08066
ben,1985,9.32265
ben,1986,5.12992
ben,1987,-7.60456
ben,1988,14.19753
ben,1989,7.84054
ben,1990,2.5261
ben,1991,8.09223
ben,1992,0.66894
ben,1993,10.12693
ben,1994,3.28274
ben,1995,5.76686
ben,1996,5.60357
ben,1997,6.08301
ben,1998,5.24695
ben,1999,5.98278
ben,2000,4.57004
ben,2001,8.74081
ben,2002,3.03735
ben,2003,1.77399
ben,2004,7.1181
ben,2005,1.42665
ben,2006,7.06771
ben,2007,6.03158
ben,2008,2.09557
ben,2009,7.78235
ben,2010,-0.83388
ben,2011,0.95189
ben,2012,5.44444
ben,2013,6.10952
ben,2014,8.25728
ben,2015,0.02274
ben,2016,8.96619
ben,2017,7.56411
ben,2018,7.32907
ben,2019,5.15958
bfa,1971,1.15636
bfa,1972,-0.29428
bfa,1973,-5.60475
bfa,1974,15.00016
bfa,1975,-0.81568
bfa,1976,3.83635
bfa,1977,-5.80473
bfa,1978,5.6014
bfa,1979,-6.44064
bfa,1980,2.47219
bfa,1981,8.07361
bfa,1982,2.789
bfa,1983,0.29013
bfa,1984,-1.06254
bfa,1985,7.20173
bfa,1986,12.55271
bfa,1987,-10.156
bfa,1988,17.93551
bfa,1989,-1.36614
bfa,1990,-6.52859
bfa,1991,20.6168
bfa,1992,2.55917
bfa,1993,9.81505
bfa,1994,0.52594
bfa,1995,6.36344
bfa,1996,12.53511
bfa,1997,-3.90022
bfa,1998,16.55238
bfa,1999,1.40482
bfa,2000,-5.18345
bfa,2001,8.12916
bfa,2002,-0.88598
bfa,2003,9.2631
bfa,2004,-5.17277
bfa,2005,12.21097
bfa,2006,1.64629
bfa,2007,-5.14213
bfa,2008,16.13293
bfa,2009,-10.32819
bfa,2010,14.56678
bfa,2011,-2.25892
bfa,2012,8.5181
bfa,2013,6.20795
bfa,2014,4.40338
bfa,2015,-3.22494
bfa,2016,4.22554
bfa,2017,-0.20625
bfa,2018,13.29156
bfa,2019,1.74276
bgd,1961,5.20814
bgd,1962,5.24618
bgd,1963,-3.36469
bgd,1964,9.53832
bgd,1965,-1.06645
bgd,1966,2.59049
bgd,1967,-2.69353
bgd,1968,10.27067
bgd,1969,0.97241
bgd,1970,5.42277
bgd,1971,-4.5081
bgd,1972,-10.70661
bgd,1973,0.27287
bgd,1974,6.43821
bgd,1975,-4.56352
bgd,1976,8.38786
bgd,1977,-3.65824
bgd,1978,7.83422
bgd,1979,-0.66481
bgd,1980,-1.51821
bgd,1981,3.30388
bgd,1982,1.02374
bgd,1983,3.88974
bgd,1984,4.9051
bgd,1985,0.19043
bgd,1986,3.32503
bgd,1987,0.09503
bgd,1988,-0.43604
bgd,1989,-0.17703
bgd,1990,9.21167
bgd,1991,2.12915
bgd,1992,2.32335
bgd,1993,2.38908
bgd,1994,0.73701
bgd,1995,-0.3725
bgd,1996,2.96758
bgd,1997,4.51857
bgd,1998,3.93541
bgd,1999,3.88154
bgd,2000,7.39027
bgd,2001,2.75793
bgd,2002,-0.1189
bgd,2003,3.98385
bgd,2004,4.97351
bgd,2005,4.38245
bgd,2006,5.55272
bgd,2007,6.6925
bgd,2008,4.49387
bgd,2009,3.46609
bgd,2010,6.15195
bgd,2011,4.45637
bgd,2012,3.01427
bgd,2013,2.46489
bgd,2014,4.37187
bgd,2015,3.32838
bgd,2016,2.78627
bgd,2017,2.97484
bgd,2018,4.18527
bgd,2019,3.92048
bgr,1981,4.47026
bgr,1982,5.79261
bgr,1983,-16.33654
bgr,1984,11.68066
bgr,1985,-20.61757
bgr,1986,22.04569
bgr,1987,-14.63514
bgr,1988,7.64574
bgr,1989,-4.97483
bgr,1990,-3.69901
bgr,1991,7.69709
bgr,1992,-14.75735
bgr,1993,-30.21989
bgr,1994,9.47074
bgr,1995,13.91912
bgr,1996,-3.71102
bgr,1997,47.82107
bgr,1998,-19.19379
bgr,1999,-4.57014
bgr,2000,-10.97581
bgr,2001,0.6253
bgr,2002,5.21145
bgr,2003,-1.61129
bgr,2004,3.68512
