geo,time,nv_ind_manf_kn
abw,2000,131530000
afg,2002,33546180600
afg,2003,34786668000
afg,2004,36234062200
afg,2005,37422371800
afg,2006,38617869900
afg,2007,40370036700
afg,2008,41317212800
afg,2009,43505492300
afg,2010,45176273500
afg,2011,46557507000
afg,2012,49367674700
afg,2013,50496151600
afg,2014,49568788500
afg,2015,49771718700
afg,2016,50313204900
afg,2017,59431451400
afg,2018,73053770000
afg,2019,77765472600
afg,2020,75024540800
ago,2002,24365238700
ago,2003,25669186000
ago,2004,29924008100
ago,2005,31756941900
ago,2006,33836491200
ago,2007,34518823100
ago,2008,36560475000
ago,2009,39047768700
ago,2010,42778811400
ago,2011,46663598000
ago,2012,51125818600
ago,2013,55074906500
ago,2014,49613157700
ago,2015,55578810700
ago,2016,62047134200
ago,2017,62779000000
ago,2018,65770000000
ago,2019,66285000000
alb,1996,26531485300
alb,1997,17959347500
alb,1998,25393330000
alb,1999,28684126700
alb,2000,30674296700
alb,2001,32440396800
alb,2002,33795825600
alb,2003,40319212200
alb,2004,42746933400
alb,2005,48682620300
alb,2006,55025271800
alb,2007,61988429700
alb,2008,58870948100
alb,2009,60574619500
alb,2010,67586930000
alb,2011,74664490000
alb,2012,62973970000
alb,2013,69174640000
alb,2014,75658620000
alb,2015,79412320000
alb,2016,83018560000
alb,2017,93338930000
alb,2018,99193720000
alb,2019,104272605800
alb,2020,98920558400
are,2001,64650923800
are,2002,66523730400
are,2003,69376011800
are,2004,74868247100
are,2005,79788892000
are,2006,85582015800
are,2007,87184850700
are,2008,96136715500
are,2009,82626930300
are,2010,84802982100
are,2011,91903865800
are,2012,93651193500
are,2013,99269862300
are,2014,103050306200
are,2015,108775804300
are,2016,114053646100
are,2017,123380858500
are,2018,122329859600
are,2019,124995480300
arg,1965,56148447439.0811
arg,1966,56638990737.40671
arg,1967,59778457057.229
arg,1968,63146582648.6287
arg,1969,70439038133.1888
arg,1970,68627551539.0194
arg,1971,72859113840.66141
arg,1972,75769528740.0853
arg,1973,78774731034.89459
arg,1974,83402045202.0191
arg,1975,81272975703.98051
arg,1976,78807367437.97881
arg,1977,84965128239.51411
arg,1978,76024568502.83231
arg,1979,83584967808.6931
arg,1980,85438315282.08249
arg,1981,75125185887.8392
arg,1982,73010248924.3835
