global,time,se_enr_seco_fm_zs
world,1970,0.76454
world,1971,0.763
world,1972,0.76284
world,1973,0.77124
world,1974,0.78352
world,1975,0.79632
world,1976,0.80149
world,1977,0.80733
world,1978,0.82105
world,1979,0.8275
world,1980,0.82486
world,1981,0.81991
world,1982,0.81667
world,1983,0.82586
world,1984,0.81669
world,1985,0.81119
world,1986,0.82766
world,1987,0.83568
world,1988,0.83842
world,1989,0.84343
world,1990,0.84485
world,1991,0.84988
world,1992,0.85526
world,1993,0.85883
world,1994,0.87034
world,1995,0.87924
world,1996,0.88509
world,1997,0.89398
world,1998,0.90666
world,1999,0.91682
world,2000,0.91956
world,2001,0.9213
world,2002,0.92521
world,2003,0.93895
world,2004,0.94037
world,2005,0.94744
world,2006,0.95048
world,2007,0.95612
world,2008,0.96282
world,2009,0.97279
world,2010,0.96774
world,2011,0.9706
world,2012,0.97349
world,2013,0.98522
world,2014,0.98981
world,2015,0.98956
world,2016,0.99041
world,2017,0.98946
world,2018,0.99244
world,2019,0.99291
world,2020,0.98868
