geo,time,nv_srv_totl_cd
abw,1995,1070223463.68715
abw,1996,1117368715.0838
abw,1997,1219167597.76536
abw,1998,1323396648.04469
abw,1999,1393061452.51397
abw,2000,1267162011.17318
abw,2001,1337946927.3743
abw,2002,1358777653.63128
abw,2003,1388414525.13966
abw,2004,1505605027.93296
abw,2005,1570302793.29609
abw,2006,1622748044.69274
abw,2007,1710816201.11732
abw,2008,1808827932.96089
abw,2009,1738479329.60894
afg,2002,1465994234.32248
afg,2003,1690842138.0094
afg,2004,2148775565.59003
afg,2005,2422047190.64448
afg,2006,2776734461.00228
afg,2007,3927877373.11587
afg,2008,4590582344.42041
afg,2009,5627994657.8546
afg,2010,7750594927.9476
afg,2011,8848167497.19435
afg,2012,10116688099.2931
afg,2013,10832135530.7321
afg,2014,10855117826.4042
afg,2015,10597609191.0047
afg,2016,10634655028.7375
afg,2017,11006660051.5838
afg,2018,10916415499.9281
afg,2019,10701316844.3161
afg,2020,11105535342.6264
ago,1995,1838629629.62963
ago,1996,1893216216.21622
ago,1997,2313292576.41921
ago,1998,2077662932.79022
ago,1999,1291647256.96062
ago,2000,2027906976.74419
ago,2001,2409145929.57625
ago,2002,5794398929.9383
ago,2003,7335803995.10497
ago,2004,9502655931.0713
ago,2005,13134556921.7672
ago,2006,19463130503.2718
ago,2007,22589944995.2481
ago,2008,30402566812.9127
ago,2009,34443953127.6394
ago,2010,35101114976.5466
ago,2011,43682749341.0323
ago,2012,50715263656.9322
ago,2013,58491200141.3204
ago,2014,68213603856.06049
ago,2015,56539700798.013
ago,2016,47508990742.1891
ago,2017,57108304561.947
ago,2018,43791598613.7548
ago,2019,34738888040.2647
ago,2020,25791595498.5899
alb,1996,1272590811.9607
alb,1997,955705725.97137
alb,1998,1120079253.77084
alb,1999,1504364735.69877
alb,2000,1541894894.72807
alb,2001,1762700682.16623
alb,2002,1903424716.07298
alb,2003,2351860499.58311
alb,2004,3059262047.75272
alb,2005,3507046339.10182
alb,2006,3871874573.15445
alb,2007,4766324441.90344
alb,2008,5757865702.91771
alb,2009,5458122240.8113
alb,2010,5250883855.2696
alb,2011,5704984449.30314
alb,2012,5538332861.91514
alb,2013,5699087813.66756
alb,2014,6056177000.37922
alb,2015,5270327567.82419
alb,2016,5538842378.71801
alb,2017,6245482787.57347
alb,2018,7231195341.7564
alb,2019,7425612325.99125
alb,2020,7167199780.02761
are,1975,3748516901.01734
are,1976,5310515797.72836
are,1977,7842850921.01555
are,1978,7444719983.46766
are,1979,8773488481.79888
are,1980,11704428979.8781
are,1981,15336965404.5219
are,1982,16880958866.7938
are,1983,16207572868.4282
are,1984,15195859438.845
are,1985,15357123399.6186
are,1986,15838463633.8872
are,1987,16073277036.2299
are,1988,16609915554.3449
are,1989,18132661372.9229
are,1990,20300463089.0765
are,1991,26767910651.0488
are,1992,23498229365.2956
are,1993,26165622446.1999
are,1994,30784799782.0757
are,1995,34625715064.0153
are,1996,38139743938.9812
are,1997,41443748297.4666
are,1998,43736419332.8795
are,1999,46990605854.3227
are,2000,51355207624.2342
are,2001,49677876106.1947
are,2002,55183662355.3438
are,2003,60869162695.7114
are,2004,68969366916.26961
are,2005,77594826412.52548
are,2006,91073655547.99181
are,2007,113955343771.27299
are,2008,129832682450.647
are,2009,118959748127.978
are,2010,135347311531.65401
are,2011,144798706167.461
are,2012,156998307066.03101
are,2013,173013007215.793
are,2014,187845336255.95599
are,2015,198281780803.26801
are,2016,206283914635.80701
are,2017,218464180993.87296
are,2018,220600322559.564
are,2019,223663565582.02896
arg,1965,10964117269.9912
arg,1966,11485714099.174
arg,1967,10342121573.3112
arg,1968,11431999904.4754
arg,1969,13573714888.1425
arg,1970,15186841957.328
arg,1971,14375599430.0652
arg,1972,15085749389.0297
arg,1973,23484555747.5107
arg,1974,33448666807.96429
arg,1975,22692703381.1785
arg,1976,20955999967.0761
arg,1977,25044200286.4854
arg,1978,26949262507.5157
arg,1979,33362723640.5703
arg,1980,40348698854.6231
arg,1981,41845264904.2424
arg,1982,41564430130.8979
arg,1983,51766381500.2642
arg,1984,41085001037.8944
arg,1985,46940001185.8042
arg,1986,60813332411.4116
arg,1987,60082857619.8198
arg,1988,66303408573.0523
arg,1989,36813371031.6332
arg,1990,78951584777.85649
arg,1991,114896696276.875
arg,1992,144880887038.159
arg,1993,144547146546.547
arg,1994,158559337300
arg,1995,160660320300
arg,1996,166966581000
arg,1997,178202602000
arg,1998,183971813200
arg,1999,180002318200
arg,2000,180382168900
arg,2001,174871223300
arg,2002,53529736072.0315
arg,2003,65109794216.4749
arg,2004,78767394915.48428
arg,2005,96359957901.20088
arg,2006,113369649233.368
arg,2007,142351555199.38501
arg,2008,181701686479.85696
arg,2009,177496448209.616
arg,2010,218147704405.24097
arg,2011,274687673268.29001
arg,2012,292963866956.43201
arg,2013,297646952435.90802
arg,2014,278636495643.77802
arg,2015,331958726542.67999
arg,2016,312899073925.00403
arg,2017,369120636520.61603
arg,2018,289488020790.17603
arg,2019,242025517596.82101
arg,2020,208147823992.89999
arm,2012,4852915890.92104
arm,2013,5088043548.04887
arm,2014,5504423448.94376
arm,2015,5088045801.97076
arm,2016,5263629783.208
arm,2017,5851944122.88458
arm,2018,6554908725.45668
arm,2019,7415285326.04454
arm,2020,6739570384.0973
atg,1977,58165409.25926
atg,1978,66451638.14815
atg,1979,81927056.2963
atg,1980,96675380.74074
atg,1981,108127676.66667
atg,1982,124423576.2963
atg,1983,139381304.44444
atg,1984,160016011.48148
atg,1985,182655864.07407
atg,1986,210162424.44444
atg,1987,242271575.18518
atg,1988,285990878.14815
atg,1989,313803814.44444
atg,1990,333081481.48148
atg,1991,348337037.03704
atg,1992,365670370.37037
atg,1993,397188888.88889
atg,1994,437425925.92593
atg,1995,425307407.40741
atg,1996,466903703.7037
atg,1997,503811111.11111
atg,1998,541774074.07407
atg,1999,568159259.25926
atg,2000,629748148.14815
atg,2001,607144444.44444
atg,2002,610677777.77778
atg,2003,637840740.74074
atg,2004,672948148.14815
atg,2005,742822222.22222
atg,2006,790418518.51852
atg,2007,887962962.96296
atg,2008,921633333.33333
atg,2009,840388888.88889
atg,2010,811988888.88889
atg,2011,820011111.11111
atg,2012,859351851.85185
atg,2013,838218518.51852
atg,2014,879651851.85185
atg,2015,934092592.59259
atg,2016,984503703.7037
atg,2017,989266666.66667
atg,2018,1056514814.81481
atg,2019,1101137037.03704
atg,2020,922862962.96296
aus,1990,184529434397.845
aus,1991,198894121340.55399
aus,1992,200732907790.51001
aus,1993,194556632939.854
aus,1994,201097890003.45901
aus,1995,228876596376.59601
aus,1996,249698027314.112
aus,1997,275233213335.41998
aus,1998,253425354405.48096
aus,1999,249778794335.13
aus,2000,267078439992.46399
aus,2001,242705269936.67496
aus,2002,252448200083.71701
aus,2003,299881188118.81201
aus,2004,393607198748.04401
aus,2005,446333634039.99402
aus,2006,475511380652.89001
aus,2007,549071209861.03497
aus,2008,679747538048.34399
aus,2009,595135473420.70398
aus,2010,753460759270.677
aus,2011,904078674948.24011
aus,2012,1009342132398.43005
aus,2013,1045435518621.10999
aus,2014,964957312035.25195
aus,2015,909565687661.203
aus,2016,825372688892.12402
aus,2017,890961610981.21985
aus,2018,955061623129.99023
aus,2019,922156343870.69104
aus,2020,878929481163.69482
aut,1976,21309832783.61589
aut,1977,26045052868.2041
aut,1978,31352969771.62889
aut,1979,38215045805.4555
aut,1980,42339039566.0498
aut,1981,37080419906.6874
aut,1982,38093044284.9076
aut,1983,38948300137.8888
aut,1984,36862567911.4229
