geo,time,nv_fsm_totl_kn
abw,2000,-162740000
ago,2002,4195785900
ago,2003,4366806700
ago,2004,5997265000
ago,2005,6211042300
ago,2006,7280475900
ago,2007,7848533000
ago,2008,8542466000
ago,2009,9475735700
ago,2010,8807095400
ago,2011,9963731200
ago,2012,8739436600
ago,2013,9206367100
ago,2014,7719229200
ago,2015,10094395800
ago,2016,11781319200
ago,2017,8555056000
ago,2018,7255087300
ago,2019,6022000000
arm,1996,20806932100
arm,1997,22263417400
arm,1998,21439671000
arm,1999,24226828100
arm,2000,22167547700
arm,2001,23741443600
arm,2002,20631314600
arm,2003,24200532000
arm,2004,30686274500
arm,2005,32680882400
arm,2006,33236457300
arm,2007,50984725500
arm,2008,55624335600
arm,2009,49950653400
arm,2010,59441277500
arm,2011,80424048399.99998
arm,2012,92970200000
arm,2013,89065451599.99998
arm,2014,94409378699.99998
arm,2015,82608206399.99998
arm,2016,89795120300.00002
arm,2017,93835900700.00002
arm,2018,103970178000
arm,2019,107089283299.99998
arm,2020,124759015096.76601
atg,1977,7164047
atg,1978,7815613
atg,1979,8467179
atg,1980,9659068
atg,1981,10202569
atg,1982,8683308
atg,1983,9659068
atg,1984,10148537
atg,1985,10660254
atg,1986,12570455
atg,1987,11108405
atg,1988,13902192
atg,1989,14448872
atg,1990,16170000
atg,1991,17790000
atg,1992,16680000
atg,1993,19030000
atg,1994,19850000
atg,1995,23010000
atg,1996,25170000
atg,1997,32680000
atg,1998,38280000
atg,1999,40220000
atg,2000,40670000
atg,2001,42380000
atg,2002,45040000
atg,2003,46730000
atg,2004,46260000
atg,2005,48600000
atg,2006,55020000
atg,2007,69660000
atg,2008,62480000
atg,2009,63370000
atg,2010,62260000
atg,2011,62240000
atg,2012,59130000
atg,2013,56210000
atg,2014,52170000
atg,2015,53370000
atg,2016,47000000
atg,2017,48880000
atg,2018,51820000
atg,2019,52040000
atg,2020,42190000
aze,2001,98900000
aze,2002,96200000
aze,2003,81100000
aze,2004,71500000
aze,2005,72500000
aze,2006,74000000
aze,2007,68500000
aze,2008,60100000
aze,2009,45200000
aze,2010,33800000
aze,2011,25400000
aze,2012,19000000
aze,2013,14300000
aze,2014,10600000
aze,2015,8000000
aze,2016,6000000
aze,2017,4600000
aze,2018,3400000
aze,2019,2330000
aze,2020,1890000
bhr,2016,11940480000
bih,2005,339710000
bih,2006,419213000
bih,2007,499728000
bih,2008,553181000
bih,2009,616056000
bih,2010,622806000
bih,2011,655926000
bih,2012,667713000
bih,2013,682679000
bih,2014,698344000
bih,2015,729866000
bih,2016,768874000
bih,2017,812442000
bih,2018,862616000
bih,2019,926271200
blz,1980,12085836.61755
blz,1981,12496605.05794
blz,1982,11224182.22456
blz,1983,10891904.56896
blz,1984,10838705.25927
blz,1985,11420409.18653
blz,1986,11994264.0353
blz,1987,13913799.78326
blz,1988,15596991.05703
blz,1989,16411550.97915
blz,1990,17949970.36098
blz,1991,19300000
blz,1992,22625432.56353
blz,1993,23543505.17452
blz,1994,24170026.90803
blz,1995,24834295.41163
blz,1996,25548432.74704
blz,1997,27222931.50247
blz,1998,30509408.25533
blz,1999,32694882.94917
blz,2000,35209565.09586
blz,2001,52095810.7763
blz,2002,73375499.59057
blz,2003,97328556.6924
blz,2004,101347712.6388
blz,2005,99742841.9592
blz,2006,109327081.57374
blz,2007,128952618.93221
blz,2008,126645824.36209
blz,2009,150957578.34573
blz,2010,166599329.79891
blz,2011,152032069.36283
blz,2012,142758227.51689
blz,2013,142338753.48847
blz,2014,142305292.77884
blz,2015,157626632.60171
blz,2016,160621348.37604
blz,2017,156480913.39853
blz,2018,131107283.4569
blz,2019,129688066.10743
blz,2020,111481909.19032
bol,1970,122147022.25673
bol,1971,127824893.37474
bol,1972,144567333.85093
bol,1973,165968540.37267
bol,1974,168880269.15114
bol,1975,214594410.97308
bol,1976,255649786.74948
bol,1977,282583277.95031
bol,1978,311554979.29607
bol,1979,254776268.11594
bol,1980,281273000
bol,1981,271822000
bol,1982,252305000
bol,1983,211533000
bol,1984,199454000
bol,1985,206156000
bol,1986,175356000
bol,1987,192623000
bol,1988,194326000
bol,1989,234435000
bol,1990,253048000
bol,1991,279824000
bol,1992,333279000
bol,1993,387317000
bol,1994,422855000
bol,1995,453666000
bol,1996,544024000
bol,1997,727402000
bol,1998,819844000
bol,1999,911092000
bol,2000,894072000
bol,2001,877305000
bol,2002,830038000
bol,2003,749362000
bol,2004,699802000
bol,2005,743154000
bol,2006,863945000
bol,2007,961553000
bol,2008,1044235000
bol,2009,1097567000
bol,2010,1173282200
bol,2011,1241784500
bol,2012,1540429500
bol,2013,1720078100
bol,2014,1841812300
bol,2015,1985242600
bol,2016,2230595200
bol,2017,2364444100
bol,2018,2505193600
bol,2019,2625335700
caf,2009,5256000000
caf,2010,4953000000
caf,2011,6987000000
caf,2012,8433000000
caf,2013,7745000000
caf,2014,5727000000
caf,2015,6914000000
caf,2016,7173000000
caf,2017,7459000000
caf,2018,7335000000
caf,2019,7555050000
caf,2020,7599042900
cod,2005,20405000000
cod,2006,21548000000
cod,2007,36459216000
cod,2008,51215098500
cod,2009,59704418300
cod,2010,57674468100
cod,2011,58437284900
cod,2012,59768258899.99999
cod,2013,56190230099.99999
cod,2014,64471484100
cod,2015,69741080500
cod,2016,75041402600
cod,2017,76842396300
cod,2018,85321514600
cod,2019,94405043100.00002
cod,2020,95821118800
cog,2005,12584000000
cog,2006,12584000000
cog,2007,13326540700
cog,2008,14683723100
cog,2009,63621902500
cog,2010,67693491000
cog,2011,71498913000
cog,2012,30439383600
cog,2013,27848191700
cog,2014,41991829900
cog,2015,56471293500
cog,2016,66982882700
cog,2017,75846871200
cog,2018,82316560699.99998
cog,2019,116824452700.00002
dma,1977,1704933
dma,1978,2124780
dma,1979,2343484
dma,1980,2242912
dma,1981,2316346
dma,1982,2324328
dma,1983,2338695
dma,1984,2434478
dma,1985,2557399
dma,1986,2635622
dma,1987,2764928
dma,1988,3390709
dma,1989,3874412
dma,1990,4490000
dma,1991,5750000
dma,1992,5810000
dma,1993,5780000
dma,1994,5810000
dma,1995,6620000
dma,1996,6500000
dma,1997,6240000
dma,1998,7380000
dma,1999,7410000
dma,2000,7560000
dma,2001,7080000
dma,2002,7480000
dma,2003,7920000
dma,2004,8190000
dma,2005,8010000
dma,2006,8010000
dma,2007,7860000
dma,2008,8220000
dma,2009,12180000
dma,2010,13040000
dma,2011,13500000
dma,2012,16100000
dma,2013,16190000
dma,2014,15860000
dma,2015,16200000
dma,2016,19300000
dma,2017,22600000
dma,2018,23430000
dma,2019,23820000
dma,2020,19050000
dza,1999,177080000000
dza,2000,190692000000
dza,2001,212776000000
dza,2002,236515999999.99997
dza,2003,257875999999.99997
dza,2004,275729000000
dza,2005,291422000000
dza,2006,325036000000.00006
dza,2007,381390000000
dza,2008,427284000000
dza,2009,465131000000
dza,2010,511569000000
dza,2011,606459000000
dza,2012,612321000000
dza,2013,637848999999.99988
dza,2014,677063000000.00012
dza,2015,706801999999.99988
dza,2016,730763000000
dza,2017,758540999999.99988
dza,2018,799745000000
dza,2019,837206000000
dza,2020,481505000000
ecu,1965,0
ecu,1966,0
ecu,1967,0
ecu,1968,0
ecu,1969,0
ecu,1970,0
ecu,1971,0
ecu,1972,0
ecu,1973,0
ecu,1974,0
ecu,1975,0
ecu,1976,0
ecu,1977,0
ecu,1978,0
ecu,1979,0
ecu,1980,0
ecu,1981,0
ecu,1982,0
ecu,1983,0
ecu,1984,0
ecu,1985,0
ecu,1986,0
ecu,1987,0
ecu,1988,0
ecu,1989,0
ecu,1990,0
ecu,1991,0
ecu,1992,0
ecu,1993,0
ecu,1994,0
ecu,1995,0
ecu,1996,0
ecu,1997,0
ecu,1998,0
ecu,1999,0
eth,2016,14485776000
eth,2017,16971321000
eth,2018,19656330000
eth,2019,21463581000
eth,2020,24527168000
fsm,1995,2529600
fsm,1996,2301000
fsm,1997,1934200
fsm,1998,1918100
fsm,1999,2637400
fsm,2000,3167500
fsm,2001,3684300
fsm,2002,4765700
fsm,2003,2665100
fsm,2004,2353100
fsm,2005,2953700
fsm,2006,3459600
fsm,2007,3666600
fsm,2008,3628600
fsm,2009,3167300
fsm,2010,3386400
fsm,2011,3367600
fsm,2012,3238800
fsm,2013,3135600
fsm,2014,3098600
fsm,2015,3336600
fsm,2016,3868100
fsm,2017,3811800
fsm,2018,4428400
fsm,2019,4428400
gab,2017,0
gab,2018,0
gbm,2012,166594000
gbm,2013,155806000
gbm,2014,151237000
gbm,2015,169275000
gbm,2016,157664000
gbm,2017,128264000
gbm,2018,146805000
gin,2006,650085000000
gin,2007,548866000000
gin,2008,457200000000
gin,2009,442806000000
gin,2010,387688999999.99994
gin,2011,446523000000
gin,2012,438448000000
gin,2013,440397000000
gin,2014,410184999999.99994
gin,2015,556686000000
gin,2016,687990000000.00012
gin,2017,800929318000
gin,2018,897582434199.99988
gin,2019,934383314000
gnb,2000,249221400
gnb,2001,291164800
gnb,2002,331000000
gnb,2003,517325600
gnb,2004,498251600
gnb,2005,802000000
gnb,2006,1499167500
gnb,2007,2403567700
gnb,2008,4725016900
gnb,2009,5581670300
gnb,2010,5742698100
gnb,2011,8354550200
gnb,2012,8103580000
gnb,2013,8502853200
gnb,2014,10120094600
gnb,2015,7307996500
gnb,2016,7399778500
gnb,2017,5827839000
gnq,2006,25092000000
gnq,2007,33465000000
gnq,2008,49093000000
gnq,2009,48177000000
gnq,2010,56136000000
gnq,2011,77368999999.99998
gnq,2012,84188000000
gnq,2013,72726224300.00002
gnq,2014,89870000000
gnq,2015,77319000000.00002
gnq,2016,74688176500
gnq,2017,72585354700
gnq,2018,60136999999.99999
gnq,2019,55974000000
gnq,2020,53736000000
grd,1977,2392783
grd,1978,2869947
grd,1979,3374974
grd,1980,3890450
grd,1981,4311886
grd,1982,4897021
grd,1983,5729445
grd,1984,6467829
grd,1985,7443054
grd,1986,8540182
grd,1987,9403952
grd,1988,9936843
grd,1989,10107507
grd,1990,9863701
grd,1991,10407000
grd,1992,10894700
grd,1993,11061800
grd,1994,11748000
grd,1995,12552500
grd,1996,13179500
grd,1997,13837700
grd,1998,16592800
grd,1999,18504900
grd,2000,20385700
grd,2001,21520800
grd,2002,21951600
grd,2003,18806700
grd,2004,20932200
grd,2005,20216300
grd,2006,22382200
grd,2007,25563900
grd,2008,26484900
grd,2009,25259200
grd,2010,27018300
grd,2011,25693500
grd,2012,24165100
grd,2013,22682000
grd,2014,22771600
grd,2015,25034500
grd,2016,26018000
grd,2017,26300000
grd,2018,30030000
grd,2019,29850000
grd,2020,26350000
guy,2006,7987959879.26441
guy,2007,8139731116.97043
guy,2008,8725791757.39231
guy,2009,9484935640.28544
guy,2010,11135314441.6951
guy,2011,12994911953.4582
guy,2012,15450950312.6618
guy,2013,17651176045.3713
guy,2014,18386072812.0525
guy,2015,20265546979.9553
guy,2016,21545330242.05289
guy,2017,20699762885.7685
guy,2018,20370463480.5735
guy,2019,21910609041.9312
guy,2020,21698000000
hnd,1978,1649003329.20451
hnd,1979,1743601714.05724
hnd,1980,1778479856.44747
hnd,1981,1844705876.85691
hnd,1982,1938204220.02582
hnd,1983,1967170653.93647
hnd,1984,2030009715.19162
hnd,1985,2095620666.85045
hnd,1986,2148211545.17159
hnd,1987,2265469197.60169
hnd,1988,2327456637.41397
hnd,1989,2534325049.56965
hnd,1990,2639991145.47487
hnd,1991,2649885700
hnd,1992,2834452200
hnd,1993,2949482600
hnd,1994,3035462300
hnd,1995,3175958700
hnd,1996,3301871200
hnd,1997,3572898900
hnd,1998,3841072400
hnd,1999,4067656100
hnd,2000,4245100000
hnd,2001,4701300000
hnd,2002,5612500000
hnd,2003,6357200000
hnd,2004,7414300000
hnd,2005,9080000000
hnd,2006,11744500000
hnd,2007,15334800000
hnd,2008,16498200000
hnd,2009,16925000000
hnd,2010,18132500000
hnd,2011,20262700000
hnd,2012,21718100000
hnd,2013,22668700000
hnd,2014,24717900000
hnd,2015,27339600000
hnd,2016,28580700000
hnd,2017,29704900000
hnd,2018,30890600000
hnd,2019,33011900000
hnd,2020,32992400000
irn,1960,8035869408607.31836
irn,1961,9094925249324.54102
irn,1962,10013661640432.80078
irn,1963,12789063842703.60352
irn,1964,13738213185351.19922
irn,1965,16668027418102.50195
irn,1966,19737064376147.39844
irn,1967,23047577128777.19922
irn,1968,29746745509968.49219
irn,1969,37661963069868.89844
irn,1970,46693866421236.10938
irn,1971,53091387157702.20312
irn,1972,75052587130840.17188
irn,1973,92888250823050.5
irn,1974,158764743065302
irn,1975,189265603597252
irn,1976,194267652530245.96875
irn,1977,194654578902016
irn,1978,222028454392496
irn,1979,158119568957416.96875
irn,1980,159287434861243
irn,1981,105027140762084.96875
irn,1982,76252985776605.42188
irn,1983,42340829576161.20312
irn,1984,48430599177203.01562
irn,1985,38026117587938
irn,1986,27869457417060.19531
irn,1987,19422592951197.59766
irn,1988,18512528828892
irn,1989,16013817736817.59961
irn,1990,24344666659948.80469
irn,1991,43198887789500
irn,1992,43919211998100
irn,1993,47461280957200
irn,1994,59468965778200
irn,1995,36427440789300
irn,1996,53934343634700.00781
irn,1997,67273490025799.98438
irn,1998,71617375488499.98438
irn,1999,57097306098800.00781
irn,2000,64709800740600.00781
irn,2001,71062086874499.98438
irn,2002,75990156809200.01562
irn,2003,88193053619800
irn,2004,100319570412899.98438
irn,2005,117367687595900
irn,2006,138455046010800
irn,2007,151106074520500.03125
irn,2008,122858371603900.01562
irn,2009,151695173869699.96875
irn,2010,163274041191000
irn,2011,162385376666300
irn,2012,166119500923400
irn,2013,163490947828999.96875
irn,2014,165348024521600.03125
irn,2015,168722951699200
irn,2016,171538802139600.03125
irn,2017,175892855363900.03125
irn,2018,177308947376099.96875
irn,2019,186821745279900.0625
irq,2007,505416800000
irq,2008,1101416300000
irq,2009,754393299999.99988
irq,2010,749945000000
irq,2011,866260000000
irq,2012,925757000000
irq,2013,693205099999.99988
irq,2014,529776000000
irq,2015,881321800000
irq,2016,1054260800000
irq,2017,1548808000000
irq,2018,1729516400000
irq,2019,1738709600000
jam,1993,33897000000
jam,1994,35024000000
jam,1995,36900000000
jam,1996,37225000000
jam,1997,33385000000
jam,1998,32970000000
jam,1999,32917000000
jam,2000,32048000000
jam,2001,34084000000
jam,2002,36783000000
jam,2003,34982000000
jam,2004,34871000000
jam,2005,35372000000
jam,2006,35179000000
jam,2007,35874000000
jam,2008,35049000000
jam,2009,36541000000
jam,2010,31915000000
jam,2011,30608000000
jam,2012,29812000000
jam,2013,29646000000
jam,2014,29372000000
jam,2015,29414000000
jam,2016,30050000000
jam,2017,30305000000
jam,2018,31653000000
jam,2019,32797000000
jam,2020,33992000000
jor,1976,27180047.81507
jor,1977,30274098.79227
jor,1978,38996942.50875
jor,1979,30524002.90966
jor,1980,29143580.16598
jor,1981,30678705.45852
jor,1982,39234946.43007
jor,1983,65343976.59919
jor,1984,68164323.06686
jor,1985,70294458.1627
jor,1986,78767397.7618
jor,1987,78672196.19327
jor,1988,92714427.55132
jor,1989,82492159.1305
jor,1990,53062974.25893
jor,1991,68509400
jor,1992,51742100
jor,1993,80207300
jor,1994,87942400
jor,1995,87906700
jor,1996,88085300
jor,1997,89156300
jor,1998,118347400
jor,1999,104769300
jor,2000,123785800
jor,2001,135543200
jor,2002,220463000
jor,2003,216012400
jor,2004,237361300
jor,2005,346057700
jor,2006,342130600
jor,2007,396240800
jor,2008,499141800
jor,2009,551711700
jor,2010,576342400
jor,2011,598230000
jor,2012,664963300
jor,2013,711005300
jor,2014,724501300
jor,2015,749853000
jor,2016,775726000
jor,2017,800504800
jor,2018,821716800
jor,2019,845878100
jor,2020,867776734.30615
kaz,1999,30921473100
kaz,2000,33487955300
kaz,2001,49294270300
kaz,2002,64526199800.00001
kaz,2003,80657749700.00002
kaz,2004,110985063600
