global,time,sp_pop_80up_fe_5y
world,1960,0.73488
world,1961,0.77393
world,1962,0.79989
world,1963,0.81224
world,1964,0.81284
world,1965,0.80168
world,1966,0.84112
world,1967,0.87122
world,1968,0.88978
world,1969,0.89526
world,1970,0.8874
world,1971,0.92223
world,1972,0.94544
world,1973,0.95796
world,1974,0.96149
world,1975,0.95676
world,1976,0.99838
world,1977,1.02951
world,1978,1.04997
world,1979,1.06086
world,1980,1.06368
world,1981,1.11463
world,1982,1.15398
world,1983,1.18147
world,1984,1.19797
world,1985,1.20478
world,1986,1.25678
world,1987,1.29634
world,1988,1.32445
world,1989,1.34323
world,1990,1.35366
world,1991,1.40921
world,1992,1.45615
world,1993,1.48879
world,1994,1.50159
world,1995,1.49369
world,1996,1.52481
world,1997,1.53619
world,1998,1.53478
world,1999,1.52929
world,2000,1.52435
world,2001,1.57339
world,2002,1.61607
world,2003,1.65065
world,2004,1.67542
world,2005,1.69052
world,2006,1.75549
world,2007,1.80969
world,2008,1.8528
world,2009,1.88415
world,2010,1.90475
world,2011,1.96184
world,2012,2.00624
world,2013,2.04066
world,2014,2.06858
world,2015,2.09221
world,2016,2.15996
world,2017,2.21883
world,2018,2.26592
world,2019,2.29827
