global,time,is_air_dprt
world,1970,9448300
world,1971,9504500
world,1973,9764900
world,1974,9254900
world,1975,9244700
world,1976,9562900
world,1977,9915900
world,1978,10183700
world,1979,10653400
world,1980,10704900
world,1981,10270100
world,1982,10335800
world,1983,10758700
world,1984,11404000
world,1985,11897900
world,1986,12677000
world,1987,13244800
world,1988,13880900
world,1989,14021100
world,1990,14583900
world,1991,14360900
world,1992,14918800
world,1993,15986200
world,1994,17218900
world,1995,18008200
world,1996,18953600
world,1997,19546600
world,1998,19653200
world,1999,20736600.00098
world,2000,22008658
world,2001,22264220
world,2002,20817389
world,2003,21282617
world,2004,23752616
world,2005,24215712
world,2006,24829383
world,2007,26016011
world,2008,25498093
world,2009,26122523
world,2010,30222074.54053
world,2011,31203707.09518
world,2012,31434525.58608
world,2013,32160518.88217
world,2014,33026724.97908
world,2015,34030586
world,2016,35337714
world,2017,36299460.058
world,2018,37405640.24839
world,2019,38082933.01013
world,2020,20098778.5634
world,2021,24054588.846
