global,time,bx_gsr_royl_cd
world,1962,2799998.88112
world,1963,1399999.44056
world,1964,2799998.88112
world,1965,2799998.88112
world,1966,2799998.88112
world,1967,68840882.2528
world,1968,72439776.72515
world,1969,93672926.99791
world,1970,2794787769.17636
world,1971,3200194146.52906
world,1972,3547765857.68262
world,1973,4143925270.3586
world,1974,4892143914.95345
world,1975,5884249672.06583
world,1976,6106489536.6918
world,1977,6873143797.72066
world,1978,8241372392.04066
world,1979,8842567258.79178
world,1980,10161310991.0989
world,1981,10342294419.9473
world,1982,8267143622.53214
world,1983,8824069778.63065
world,1984,8905514997.21519
world,1985,9694745388.06038
world,1986,11904440896.0852
world,1987,15697460650.9934
world,1988,18769348779.2684
world,1989,20972399645.90829
world,1990,26740752136.4272
world,1991,28075839906.264
world,1992,32582175817.2537
world,1993,34083073463.8289
world,1994,41294903851.4062
world,1995,46884443554.8952
world,1996,57245794766.2599
world,1997,59208846777.6757
world,1998,63498481590.0871
world,1999,70749160472.0941
world,2000,80965647797.7097
world,2001,80173328726.44591
world,2002,88474283725.53979
world,2003,98164535284.86728
world,2004,136891781802.606
world,2005,160591524548.46301
world,2006,172574528898.755
world,2007,204790053526.89096
world,2008,225772402402.716
world,2009,217940777778.01901
world,2010,237489497481.58701
world,2011,269680513693.06201
world,2012,275508447753.00897
world,2013,298418875884.67102
world,2014,330877909350.37
world,2015,330465571694.17401
world,2016,332994201608.49701
world,2017,363528149697.66803
world,2018,395280997948.03198
world,2019,399287791168.46698
world,2020,391140275518.41998
