geo,time,fb_ast_nper_zs
afg,2010,49.90132
afg,2011,4.69682
afg,2012,4.9589
afg,2013,4.85229
afg,2014,7.78109
afg,2015,12.05362
afg,2016,11.07438
afg,2017,12.20183
afg,2018,8.88666
ago,2010,3.17305
ago,2011,2.01497
ago,2012,4.35012
ago,2013,7.97677
ago,2014,10.19053
ago,2015,10.61123
ago,2016,11.28509
ago,2017,25.83606
ago,2018,23.22174
ago,2019,23.14547
ago,2020,12.22381
ago,2021,14.99609
alb,2010,13.50822
alb,2011,18.04785
alb,2012,21.19499
alb,2013,22.24386
alb,2014,21.46033
alb,2015,16.84245
alb,2016,16.55451
alb,2017,11.97172
alb,2018,10.42739
alb,2019,7.97223
alb,2020,7.65009
alb,2021,5.39391
alb,2022,4.78957
are,2009,4.17813
are,2010,5.26699
are,2011,6.0863
are,2012,7.12965
are,2013,5.8523
are,2014,5.31214
are,2015,4.7462
are,2016,4.79735
are,2017,4.99704
are,2018,5.25651
are,2019,6.02687
are,2020,7.57146
are,2021,7.28694
are,2022,6.55317
arg,2005,5.18084
arg,2006,3.39071
arg,2007,2.72685
arg,2008,2.67921
arg,2009,2.98196
arg,2010,1.844
arg,2011,1.22771
arg,2012,1.53674
arg,2013,1.53373
arg,2014,1.79256
arg,2015,1.5742
arg,2016,1.70028
arg,2017,1.7348
arg,2018,2.95779
arg,2019,5.70291
arg,2020,4.15006
arg,2021,4.29211
arg,2022,3.09401
arm,2005,1.97209
arm,2006,2.44756
arm,2007,2.40402
arm,2008,4.28419
arm,2009,4.86362
arm,2010,3.04141
arm,2011,3.42109
arm,2012,3.66922
arm,2013,4.48534
arm,2014,6.96975
arm,2015,7.94972
arm,2016,6.72411
arm,2017,5.43232
arm,2018,4.7544
arm,2019,5.50667
arm,2020,6.55482
arm,2021,1.83298
arm,2022,2.39796
atg,2015,9.54238
atg,2016,8.65553
atg,2017,7.93807
atg,2018,6.35093
atg,2019,5.33456
atg,2020,6.25661
atg,2021,6.71798
aus,2005,0.56445
aus,2006,0.57401
aus,2007,0.55923
aus,2008,1.35526
aus,2009,2.01806
aus,2010,2.14856
aus,2011,1.96839
aus,2012,1.70189
aus,2013,1.36517
aus,2014,1.01384
aus,2015,0.88873
aus,2016,0.94768
aus,2017,0.85701
aus,2018,0.90186
aus,2019,0.96149
aus,2020,1.10778
aus,2021,0.91258
aus,2022,0.72167
aut,2006,2.73943
aut,2007,2.24247
aut,2008,1.90307
aut,2009,2.25042
aut,2010,2.83072
aut,2011,2.70682
aut,2012,2.81336
aut,2013,2.86654
aut,2014,3.47337
aut,2015,3.39284
aut,2016,2.69522
aut,2017,2.3689
aut,2018,2.90096
aut,2019,2.41058
aut,2020,2.38905
aut,2021,2.08461
aut,2022,1.99024
aze,2022,2.56167
bdi,2010,9.31524
bdi,2011,7.39311
bdi,2012,8.16829
bdi,2013,9.88695
bdi,2014,10.82292
bdi,2015,17.9167
bdi,2016,21.05652
bdi,2017,14.19009
bdi,2018,12.69616
bel,2006,1.28016
bel,2007,1.16267
bel,2008,1.66568
bel,2009,3.11495
bel,2010,2.83293
bel,2011,3.34868
bel,2012,3.79789
bel,2013,4.31854
bel,2014,4.24739
bel,2015,3.85093
bel,2016,3.48453
bel,2017,2.96175
bel,2018,2.26827
bel,2019,2.08707
bel,2020,2.06996
bel,2021,2.03126
bel,2022,1.83865
bgd,2011,1.90421
bgd,2012,6.72328
bgd,2013,4.8444
bgd,2014,9.36517
bgd,2015,8.39791
bgd,2016,8.85852
bgd,2017,8.89566
bgd,2018,9.88733
bgd,2019,8.90213
bgd,2020,7.73755
bgd,2021,7.96908
bgd,2022,8.72436
bgr,2008,2.40391
bgr,2009,6.42293
bgr,2010,11.91771
bgr,2011,14.97361
bgr,2012,16.62632
bgr,2013,16.87852
bgr,2014,16.74653
bgr,2015,14.61205
bgr,2016,13.17307
bgr,2017,10.43445
bgr,2018,7.80156
bgr,2019,6.6213
bgr,2020,5.79835
bgr,2021,5.94059
bgr,2022,4.52733
bih,2000,21.21596
bih,2001,17.9071
bih,2002,11.01722
bih,2003,8.38583
bih,2004,6.07354
bih,2005,5.2756
bih,2006,3.99876
bih,2007,3.01859
bih,2008,3.0912
bih,2009,5.87121
bih,2010,11.42178
bih,2011,11.79971
bih,2012,13.46569
bih,2013,15.11985
bih,2014,14.16531
bih,2015,13.70842
bih,2016,11.77772
bih,2017,10.04628
bih,2018,8.77034
bih,2019,7.41166
bih,2020,6.1224
bih,2021,5.77886
bih,2022,4.53847
blr,2010,3.5488
blr,2011,4.1596
blr,2012,5.50187
blr,2013,4.44733
blr,2014,4.3713
blr,2015,6.83495
blr,2016,12.79117
blr,2017,12.85219
blr,2018,5.01029
blr,2019,4.62788
blr,2020,4.82924
blr,2021,5.29877
blr,2022,4.90922
blz,2017,5.9726
blz,2018,6.47964
blz,2019,5.08096
blz,2020,6.53899
blz,2021,3.91409
blz,2022,4.88992
bol,2010,2.14098
bol,2011,1.645
bol,2012,1.4536
bol,2013,1.48473
bol,2014,1.50238
bol,2015,1.49993
bol,2016,1.57696
bol,2017,1.70243
bol,2018,1.73168
bol,2019,1.866
bol,2020,1.50758
bol,2021,1.54166
bra,2005,3.52553
bra,2006,3.46066
bra,2007,2.9826
bra,2008,3.10639
bra,2009,4.21499
