geo,time,fb_ast_nper_zs
afg,2010,49.90132
afg,2011,4.69682
afg,2012,4.9589
afg,2013,4.85229
afg,2014,7.78109
afg,2015,12.05362
afg,2016,11.07438
afg,2017,12.20183
afg,2018,8.88666
ago,2010,3.17305
ago,2011,2.01497
ago,2012,4.35012
ago,2013,7.97677
ago,2014,10.19053
ago,2015,10.61123
ago,2016,11.28509
ago,2017,25.83606
ago,2018,23.24051
alb,2010,13.96298
alb,2011,18.76934
alb,2012,22.4939
alb,2013,23.49278
alb,2014,22.80273
alb,2015,18.16857
alb,2016,18.26995
alb,2017,13.23253
alb,2018,11.08458
alb,2019,8.36896
are,2009,4.17813
are,2010,5.26699
are,2011,6.0863
are,2012,7.12965
are,2013,6.65565
are,2014,5.63672
are,2015,5.02708
are,2016,5.07183
are,2017,5.29529
are,2018,5.61044
are,2019,6.45749
arg,2005,7.60665
arg,2006,4.45654
arg,2007,3.24186
arg,2008,3.10838
arg,2009,3.46683
arg,2010,2.11702
arg,2011,1.3956
arg,2012,1.73455
arg,2013,1.73258
arg,2014,1.99006
arg,2015,1.73684
arg,2016,1.83661
arg,2017,1.83036
arg,2018,3.10857
arg,2019,5.74849
arm,2005,1.97209
arm,2006,2.44756
arm,2007,2.40402
arm,2008,4.28419
arm,2009,4.86362
arm,2010,3.04141
arm,2011,3.42109
arm,2012,3.66922
arm,2013,4.48534
arm,2014,6.96975
arm,2015,7.94972
arm,2016,6.72411
arm,2017,5.43232
arm,2018,4.7544
arm,2019,5.50667
atg,2015,9.54254
atg,2016,8.65553
atg,2017,7.93807
atg,2018,6.35093
aus,2005,0.564
aus,2006,0.574
aus,2007,0.559
aus,2008,1.355
aus,2009,2.018
aus,2010,2.149
aus,2011,1.968
aus,2012,1.747
aus,2013,1.399
aus,2014,1.047
aus,2015,0.92413
aus,2016,0.9791
aus,2017,0.85701
aus,2018,0.90186
aus,2019,0.96135
aut,2006,2.73943
aut,2007,2.24247
aut,2008,1.90307
aut,2009,2.25042
aut,2010,2.83072
aut,2011,2.70682
aut,2012,2.81336
aut,2013,2.86654
aut,2014,3.47337
aut,2015,3.39284
aut,2016,2.69522
aut,2017,2.3689
aut,2018,1.88243
aut,2019,1.62862
bdi,2010,9.31524
bdi,2011,7.39311
bdi,2012,8.16829
bdi,2013,9.88695
bdi,2014,10.82292
bdi,2015,17.9167
bdi,2016,21.05652
bdi,2017,14.19009
bel,2006,1.28016
bel,2007,1.15706
bel,2008,1.65216
bel,2009,3.07544
bel,2010,2.79861
bel,2011,3.3023
bel,2012,3.73825
bel,2013,4.24498
bel,2014,4.17569
bel,2015,3.78935
bel,2016,3.43203
bel,2017,2.92479
bel,2018,2.26827
bel,2019,2.08707
bgd,2011,5.849
bgd,2012,9.72808
bgd,2013,8.64185
bgd,2014,9.36517
bgd,2015,8.3979
bgd,2016,8.85853
bgd,2017,8.89566
bgd,2018,9.88733
bgd,2019,8.90213
bgr,2008,2.40391
bgr,2009,6.42293
bgr,2010,11.91771
bgr,2011,14.97361
bgr,2012,16.62632
bgr,2013,16.87852
bgr,2014,16.74653
bgr,2015,14.61205
bgr,2016,13.17307
bgr,2017,10.43445
bgr,2018,7.80156
bgr,2019,6.6213
bih,2000,21.21596
bih,2001,17.9071
bih,2002,11.01722
bih,2003,8.38583
bih,2004,6.07354
bih,2005,5.27605
bih,2006,3.99876
bih,2007,3.01859
bih,2008,3.09121
bih,2009,5.87121
bih,2010,11.42178
bih,2011,11.79971
bih,2012,13.46569
bih,2013,15.11985
bih,2014,14.16531
bih,2015,13.70842
bih,2016,11.77772
bih,2017,10.04628
bih,2018,8.77034
bih,2019,7.41166
blr,2010,3.5488
blr,2011,4.1596
blr,2012,5.50187
blr,2013,4.44733
blr,2014,4.3713
blr,2015,6.83495
blr,2016,12.79117
blr,2017,12.85219
blr,2018,5.01029
blr,2019,4.62788
bol,2010,2.14098
bol,2011,1.645
bol,2012,1.4536
bol,2013,1.48473
bol,2014,1.50238
bol,2015,1.49993
bol,2016,1.57696
bol,2017,1.70243
bol,2018,1.73168
bol,2019,1.866
bra,2005,3.52553
bra,2006,3.46066
bra,2007,2.9826
bra,2008,3.10639
bra,2009,4.21499
bra,2010,3.10772
bra,2011,3.46686
bra,2012,3.44682
bra,2013,2.85728
bra,2014,2.8548
bra,2015,3.31179
bra,2016,3.91664
bra,2017,3.58572
bra,2018,3.05306
bra,2019,3.11
brn,2009,9.36467
brn,2010,6.86703
brn,2011,6.03201
brn,2012,5.37616
brn,2013,4.5253
brn,2014,3.85059
brn,2015,3.99835
brn,2016,4.7489
brn,2017,3.66101
brn,2018,4.66985
brn,2019,3.8995
btn,2009,6.83049
btn,2010,5.20416
btn,2011,3.9186
btn,2012,5.43682
btn,2013,6.9525
btn,2014,6.75216
btn,2015,6.59417
btn,2016,7.18675
btn,2017,8.41731
btn,2018,7.02804
btn,2019,8.4466
bwa,2012,2.62061
bwa,2013,3.61343
bwa,2014,3.54945
bwa,2015,3.73436
bwa,2016,4.85264
bwa,2017,5.2769
bwa,2018,5.42632
bwa,2019,4.78797
caf,2010,12.63801
caf,2011,11.99626
caf,2012,9.58298
caf,2013,28.50159
caf,2014,27.66217
caf,2015,30.86475
caf,2016,25.61075
caf,2017,22.93816
caf,2018,15.59115
