global,time,sp_pop_65up_ma_in
world,1960,64272836
world,1961,65694262
world,1962,67073301
world,1963,68443797
world,1964,69698289
world,1965,70881009
world,1966,73255359
world,1967,75561444
world,1968,77817529
world,1969,80018955
world,1970,82139852
world,1971,85071927
world,1972,87786571
world,1973,90351992
world,1974,92822924
world,1975,95219586
world,1976,98458509
world,1977,101645489
world,1978,104719799
world,1979,107520823
world,1980,109928507
world,1981,112721632
world,1982,115081241
world,1983,117160074
world,1984,119194767
world,1985,121382994
world,1986,124572415
world,1987,127809533
world,1988,131117813
world,1989,134555425
world,1990,138195017
world,1991,142677406
world,1992,147278008
world,1993,151898114
world,1994,156300339
world,1995,160408296
world,1996,165502965
world,1997,170095153
world,1998,174375391
world,1999,178611929
world,2000,182951356
world,2001,188216642
world,2002,193540139
world,2003,198761858
world,2004,203577204
world,2005,207869906
world,2006,212953786
world,2007,217593236
world,2008,222104425
world,2009,226792680
world,2010,231911487
world,2011,238206416
world,2012,244906687
world,2013,252098649
world,2014,260001576
world,2015,268739976
world,2016,279264223
world,2017,290412777
world,2018,301872821
world,2019,313214616
world,2020,324307943
