geo,time,ny_gds_totl_cd
abw,1995,390307262.56983
abw,1996,364318435.75419
abw,1997,406804469.27374
abw,1998,461189944.13408
abw,1999,451290502.7933
abw,2000,547195530.72626
abw,2001,492737430.1676
abw,2002,435754189.94413
abw,2003,433519553.07263
abw,2004,563687150.83799
abw,2005,563687150.83799
abw,2006,555307262.56983
abw,2007,571508379.88827
abw,2008,624581005.58659
abw,2009,444692737.43017
abw,2010,296089385.47486
abw,2011,319553072.6257
abw,2012,239664804.46927
abw,2013,410028491.62011
abw,2014,468315678.33959
abw,2015,634390673.49539
abw,2016,655687064.40006
abw,2017,675518963.48814
abw,2018,664397701.17234
afg,1960,71111155.55556
afg,1961,71111157.77778
afg,1962,80000022.22222
afg,1963,48888946.66667
afg,1964,37777862.22222
afg,1965,11111082.22222
afg,1966,-22222255.55556
afg,1967,-37777682.22222
afg,1968,2222215.55556
afg,1969,22222255.55556
afg,1970,57777628.88889
afg,1971,4444613.33333
afg,1972,51110980
afg,1973,95555493.33333
afg,1974,171111035.55556
afg,1975,193333202.22222
afg,1976,306666608.88889
afg,1977,273333360
afg,1978,357777955.55556
ago,2000,5232903351.42672
ago,2001,2764399167.64515
ago,2002,6016650509.30159
ago,2003,6268747210.35623
ago,2004,10380439291.1778
ago,2005,19231589128.3871
ago,2006,29129779103.8982
ago,2007,34905854945.0435
ago,2008,48155621763.1082
ago,2009,26638907992.36589
ago,2010,39519762336.83
ago,2011,53415060367.4038
ago,2012,59861819002.1787
ago,2013,55812084960.0542
ago,2014,54726000774.1418
ago,2015,35814562896.10169
ago,2016,30431728659.5575
ago,2017,36492653747.0768
ago,2018,33612774299.3336
ago,2019,30567021301.6733
ago,2020,19153729744.0177
alb,1984,506848477.70076
alb,1985,531851951.11658
alb,1986,586538762.5
alb,1987,534971225
alb,1988,479461275
alb,1989,593965025
alb,1990,367816912.5
alb,1991,-188023583.33333
alb,1992,-566819134.3751
alb,1993,-456247375.87263
alb,1994,-297305480.78539
alb,1995,-129603225.54546
alb,1996,-114899486.98025
alb,1997,-189078118.60941
alb,1998,-139022161.94761
alb,1999,77318175.23534
alb,2000,263561677.12905
alb,2001,437879785.6049
alb,2002,375249954.06173
alb,2003,480966279.09191
alb,2004,832327365.38016
alb,2005,968127761.70693
alb,2006,1054154086.40271
alb,2007,828093541.92677
alb,2008,840805606.08192
alb,2009,972123573.75016
alb,2010,1280159847.29167
alb,2011,1382714444.01055
alb,2012,1378380391.96112
alb,2013,1142846259.8373
alb,2014,1026608172.16534
alb,2015,933105221.66659
alb,2016,921570936.62525
alb,2017,1157913434.089
alb,2018,1487145288.60293
alb,2019,1265157667.49081
alb,2020,760878873.44685
are,2001,31981643621.5112
are,2002,31276552539.1423
are,2003,39387822818.2437
are,2004,45073880272.2941
are,2005,64633271449.966
are,2006,82306213914.22739
are,2007,85548782491.49078
are,2008,108271884302.246
are,2009,95025112920.354
are,2010,138310799727.70599
are,2011,181114294567.733
are,2012,217743661756.29697
are,2013,214861908890.40201
are,2014,212847365690.94601
are,2015,186799177889.72101
are,2016,183085859006.12701
are,2017,190802027719.53696
are,2018,210596536228.72696
are,2019,201344891572.49799
arg,1962,5074444421.7687
arg,1963,3286538568.26713
arg,1964,6170672855.40251
arg,1965,6945294338.80843
arg,1966,6357618636.96676
arg,1967,5752121204.31024
arg,1968,6019999398.64784
arg,1969,7498569268.59098
arg,1970,7992630156.47648
arg,1971,7827999487.48499
arg,1972,8423250947.40765
arg,1973,11978446044.6452
arg,1974,16569110988.7468
arg,1975,15357295768.3873
arg,1976,17389050021.7959
arg,1977,18869000358.8158
arg,1978,17827460940.4137
arg,1979,18031898072.5999
arg,1980,18344687862.99409
arg,1981,17497893196.2443
arg,1982,20507330798.7922
arg,1983,25166191703.4856
arg,1984,18031000455.5014
arg,1985,20381667181.5509
arg,1986,21409999675.4274
arg,1987,22057143032.2416
arg,1988,27714772510.809
arg,1989,16855183716.9183
arg,1990,27882034591.6529
arg,1991,30799170739.3812
arg,1992,34702208459.5195
arg,1993,40917630630.6306
arg,1994,43484681200
arg,1995,46677313000
arg,1996,51639312000
arg,1997,54505788900
arg,1998,55161538900
arg,1999,45745085000
arg,2000,47984383900
arg,2001,45495038800
arg,2002,25277612299.1309
arg,2003,32361334487.3231
arg,2004,40429882798.1807
arg,2005,49343929755.7314
arg,2006,56512336635.9147
arg,2007,70385867483.0106
arg,2008,84213748246.68988
arg,2009,70317826057.95399
arg,2010,87276430428.79718
arg,2011,106513632125.739
arg,2012,100740098540.826
arg,2013,94982531332.94861
arg,2014,92985131169.39841
arg,2015,95134804470.7245
arg,2016,92681397528.15379
arg,2017,100171358154.166
arg,2018,92003692244.1716
arg,2019,87373147885.993
arg,2020,77465632755.97121
arm,1990,746447994.24826
arm,1991,501038961.03896
arm,1992,-161510053.34428
arm,1993,-127173572.54734
arm,1994,-76681495.61016
arm,1995,-256227967.97038
arm,1996,-186112398.56053
arm,1997,-241589903.38361
arm,1998,-211151659.86125
arm,1999,-152716159.86992
arm,2000,-247829576.33182
arm,2001,-185446618.3836
arm,2002,-68189238.68492
arm,2003,84308620.00449
arm,2004,138778704.65836
arm,2005,532478862.73345
arm,2006,940107979.89811
arm,2007,1403491473.17097
arm,2008,1785681509.3274
arm,2009,274042599.81122
arm,2010,157369858.46778
arm,2011,8580381.95344
arm,2012,340902121.64355
arm,2013,141957645.72389
arm,2014,274792640.31191
arm,2015,946904062.89108
arm,2016,1080154517.84248
arm,2017,882018303.08645
arm,2018,1085388267.49076
arm,2019,558990819.13834
arm,2020,1085306422.84834
asm,2002,-16000000
asm,2003,-29000000
asm,2004,-75000000
asm,2005,-91000000
asm,2006,-106000000
asm,2007,-86000000
asm,2008,-88000000
asm,2009,2000000
asm,2010,-131000000
asm,2011,-178000000
asm,2012,-109000000
asm,2013,-121000000
asm,2014,-163000000
asm,2015,-158000000
asm,2016,-112000000
asm,2017,-172000000
asm,2018,-180000000
asm,2019,-179000000
atg,1993,160581481.48148
atg,1994,142985185.18518
atg,1995,102911111.11111
atg,1996,95359259.25926
atg,1997,141507407.40741
atg,1998,177155555.55556
atg,1999,165162962.96296
atg,2000,204148148.14815
atg,2001,122555555.55556
atg,2002,133418518.51852
atg,2003,127285185.18519
atg,2004,158025925.92593
atg,2005,138592592.59259
atg,2006,149292592.59259
atg,2007,140462962.96296
atg,2008,187551851.85185
atg,2009,322181481.48148
atg,2010,164107407.40741
atg,2011,127933333.33333
atg,2012,95207407.40741
atg,2013,93596296.2963
atg,2014,134575310.22986
atg,2015,229126762.62947
atg,2016,294815686.06364
atg,2017,362519285.70908
atg,2018,506123866.23352
atg,2019,579577068.89892
atg,2020,326613236.90185
aus,1960,5793481912.86818
aus,1961,6020831000.11199
aus,1962,5754283794.37787
aus,1963,6435211109.86673
aus,1964,7420763803.33744
aus,1965,8063612946.57856
aus,1966,8021054989.36051
aus,1967,9475865158.47239
aus,1968,9662896180.98331
aus,1969,11649680815.3209
aus,1970,13485272706.9101
aus,1971,14260275506.7757
aus,1972,16073598130.8411
aus,1973,19695067264.574
aus,1974,28412675018.423
aus,1975,26486412672.402
aus,1976,27562082440.4387
aus,1977,28396421197.5224
aus,1978,28691630949.6955
aus,1979,34900602067.477
aus,1980,40133704735.376
aus,1981,46124463021.0147
aus,1982,50604656294.8251
aus,1983,39309312119.7941
aus,1984,47930628509.328
aus,1985,46529109457.6973
aus,1986,44821628427.5322
aus,1987,45777527792.4828
aus,1988,62561845168.8009
aus,1989,84164156013.354
aus,1990,85763755290.49631
aus,1991,80061219684.4832
aus,1992,71559640083.0578
aus,1993,71145306351.8831
aus,1994,77169145624.35139
aus,1995,88422928422.92841
aus,1996,97663125948.40669
aus,1997,109474096102.67599
aus,1998,98973750254.358
aus,1999,92362451435.01689
aus,2000,100269421591.409
aus,2001,89168187184.71609
aus,2002,96629866052.7417
aus,2003,111539312754.80499
aus,2004,149802247830.41699
aus,2005,172089911291.535
aus,2006,192393680742.73697
aus,2007,221184737379.289
aus,2008,275276633840.64502
aus,2009,256146370195.84695
aus,2010,295951730820.04797
aus,2011,383707975944.00098
aus,2012,425097958341.92603
aus,2013,419261311172.66895
aus,2014,386213164417.51599
aus,2015,334490390215.492
aus,2016,279201484932.30493
aus,2017,327640847726.07294
aus,2018,356929695372.45203
aus,2019,359034472893.71997
aus,2020,347015015417.61603
aut,1970,4721525271.23578
aut,1971,5435559532.98821
aut,1972,6887181379.84404
aut,1973,9219043502.70574
aut,1974,10827239399.2933
aut,1975,10648729556.767
