geo,time,bx_trf_pwkr_cd_dt
abw,1991,2569832.325
abw,1992,2625698.328
abw,1993,3351955.414
abw,1994,3910614.491
abw,1995,1340782.12291
abw,1996,1620111.73184
abw,1997,1843575.41899
abw,1998,1620111.73184
abw,1999,608938.54749
abw,2000,1083798.88268
abw,2001,1335195.53073
abw,2002,1329608.93855
abw,2003,273743.01676
abw,2004,1458100.55866
abw,2005,819846.09627
abw,2006,1036166.00246
abw,2007,5195530.72626
abw,2008,6759776.53631
abw,2009,9050279.32961
abw,2010,4972067.03911
abw,2011,5307262.56983
abw,2012,4860335.19553
abw,2013,58146742.30528
abw,2014,58627995.07618
abw,2015,53640100.51822
abw,2016,52684335.98009
abw,2017,56140485.04732
abw,2018,36920295.4481
abw,2019,34264018.27097
abw,2020,34984040.41726
abw,2021,35845637.16051
abw,2022,38279493.45396
abw,2023,38964260.60986
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,89540435.95
afg,2009,140695166.3
afg,2010,378206657.0181
afg,2011,179116561.3764
afg,2012,219416087.48146
afg,2013,347165291.81415
afg,2014,253367821.60334
afg,2015,348624717.30265
afg,2016,627710802.37739
afg,2017,822731630.24556
afg,2018,803546453.78656
afg,2019,828571904.11118
afg,2020,788917115.24523
afg,2021,320000000
afg,2022,320000000
afg,2023,320000000
ago,1996,5142000
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,82084000
ago,2009,162358.5
ago,2010,17972037
ago,2011,204751.1
ago,2012,40348853.98948
ago,2013,36637411.34017
ago,2014,30971119.27078
ago,2015,11114711.6
ago,2016,3988048.38
ago,2017,1418195.84
ago,2018,1579247.15
ago,2019,3445473.46759
ago,2020,8053050.89442
ago,2021,12631149.31977
ago,2022,14005491.47631
ago,2023,12066567.16512
alb,1992,151800000
alb,1993,332000000
alb,1994,307100000
alb,1995,427300000
alb,1996,550900000
alb,1997,300300000
alb,1998,504140000
alb,1999,407200000
alb,2000,597800000
alb,2001,699300000
alb,2002,733570000
