geo,time,ne_gdi_fprv_cn
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1992,0
ago,2000,20175030100
ago,2001,47586201700
ago,2006,600299364500
ago,2007,728074578500
ago,2008,1048563590100
ago,2009,1909641376800
ago,2010,1519411083700
ago,2011,2008337216700
ago,2012,2432920292400
ago,2013,1918500885400
ago,2014,2263171761200
ago,2015,3366427760500
ago,2016,3703983713000
ago,2017,3397537360800
ago,2018,3241820566100
ago,2019,3871919423500
ago,2020,4846542663100
ago,2021,7503674842900
are,2001,45994437300
are,2002,49385026400
are,2003,54722771800
are,2004,57023261600
are,2005,74239000000
are,2006,87573511800
are,2007,156692000000
are,2008,156265632200
are,2009,148667253100
are,2010,157382750700
are,2011,165379377100
are,2012,171670706300
are,2013,141669578000
are,2014,155295033300
are,2015,162065272100
are,2016,170731340300
are,2017,136247705900
are,2018,124559000000
asm,2002,23000000
asm,2003,25000000
asm,2004,29000000
asm,2005,35000000
asm,2006,40000000
asm,2007,41000000
asm,2008,47000000
asm,2009,39000000
asm,2010,50000000
asm,2011,52000000
asm,2012,54000000
asm,2013,66000000
asm,2014,72000000
asm,2015,56000000
asm,2016,53000000
asm,2017,54000000
asm,2018,56000000
asm,2019,46000000
asm,2020,62000000
asm,2021,87000000
aus,1960,4397000000
aus,1961,4638000000
aus,1962,4596000000
aus,1963,4934000000
aus,1964,5490000000
aus,1965,6194000000
aus,1966,6569000000
aus,1967,7084000000
aus,1968,7902000000
aus,1969,8642000000
aus,1970,9996000000
aus,1971,10625000000
aus,1972,11473000000
aus,1973,12333000000
aus,1974,14791000000
aus,1975,15049000000
aus,1976,17723000000
aus,1977,20540000000
aus,1978,23147000000
aus,1979,27036000000
aus,1980,30738000000
aus,1981,38108000000
aus,1982,45310000000
aus,1983,43675000000
aus,1984,47520000000
aus,1985,54263000000
aus,1986,62648000000
aus,1987,68256000000
aus,1988,79017000000
aus,1989,94258000000
aus,1990,98777000000
aus,1991,88377000000
aus,1992,82773000000
aus,1993,89322000000
aus,1994,96764000000
aus,1995,108678000000
aus,1996,111964000000
aus,1997,117234000000
aus,1998,131826000000
aus,1999,139871000000
aus,2000,151952000000
aus,2001,142845000000
aus,2002,161314000000
aus,2003,186185000000
aus,2004,206692000000
aus,2005,223676000000
aus,2006,248095000000
aus,2007,265941000000
aus,2008,294976000000
aus,2009,305534000000
aus,2010,297384000000
aus,2011,315251000000
aus,2012,356352000000
aus,2013,377585000000
aus,2014,378610000000
aus,2015,374553000000
aus,2016,366504000000
aus,2017,359519000000
aus,2018,380077000000
aus,2019,378418000000
aus,2020,369408000000
aus,2021,385677000000
aus,2022,439494000000
aze,1993,5902300
aze,1994,96137400
aze,1995,266147000
aze,1996,774220000
aze,1997,1124260000
aze,1998,1158804400
aze,1999,937785700
aze,2000,949010500
aze,2001,1105018200
aze,2002,1784877700
aze,2003,3476355300
aze,2004,4611907200
aze,2005,4695595300
aze,2006,4035037100
aze,2007,3338200000
bdi,2005,198108652000
bdi,2006,158497900000
bdi,2007,136452500000
bdi,2008,147157700000
bdi,2009,245449000000
bdi,2010,215089900000
bdi,2011,228382100000
bdi,2012,300028300000
bdi,2013,313105900000
bdi,2014,397702300000
bdi,2015,459291800000
bdi,2016,357532500000
bdi,2017,371294000000
bdi,2018,470132500000
bdi,2019,597485408600
bdi,2020,560466536900
bdi,2021,710412978500
bdi,2022,788004793400
ben,1987,40800002000
ben,1988,51399999500
ben,1989,38100000800
ben,1990,45703700000
ben,1991,52054900000
ben,1992,58705800000
ben,1993,62080100000
ben,1994,89689200000
ben,1995,120121536600
ben,1996,123663428800
ben,1997,160161072500
ben,1998,181863114700
ben,1999,365777938700
ben,2000,324194811800
ben,2001,384228071300
ben,2002,378676874000
ben,2003,410727928900
ben,2004,399676578500
ben,2005,384493057300
ben,2006,392712106200
ben,2007,437630289400
ben,2008,486132918800
ben,2009,546019503500
ben,2010,599554516100
ben,2011,673631864800
ben,2012,675712028100
ben,2013,992182636700
ben,2014,1151003859700
ben,2015,1092877735600
ben,2016,1080510000000
ben,2017,1415094547300
ben,2018,1725815632100
ben,2019,1907367783700
ben,2020,1853527179400
ben,2021,2237801741700
ben,2022,3201665442900
