geo,time,sp_dyn_conm_zs
afg,2000,3.6
afg,2003,8.7
afg,2005,12.5
afg,2006,17.5
afg,2008,15.2
afg,2010,19.9
afg,2011,20.20823
afg,2012,13.8
afg,2015,19.8
ago,1996,4.0257
ago,2001,4.86412
ago,2009,11.68422
ago,2016,12.5
alb,2000,17.45935
alb,2002,8
alb,2005,24.82816
alb,2009,10.6
alb,2018,3.7
are,1995,23.6
arg,2013,68.93258
arg,2020,67.22993
arm,1991,25.2
arm,2000,22.3
arm,2005,19.5
arm,2010,27.2
arm,2015,27.99094
arm,2016,28
atg,1981,44.6
aus,1986,72.2
aus,2006,63.058
aus,2009,59.21
aus,2012,65.12
aus,2016,64.65
aut,1996,46.83255
aut,2009,67.6
aut,2013,63.01042
aze,2000,16.67446
aze,2001,11.9
aze,2006,14.3
aze,2011,13.9
bdi,1987,1.2
bdi,2000,10.03922
bdi,2002,8.484
bdi,2005,7.82163
bdi,2009,19.6
bdi,2010,17.7
bdi,2012,30
bdi,2016,22.47711
bdi,2017,22.9
bel,1966,10.8
bel,1976,47.85
bel,1983,63.18
bel,1992,74.30012
bel,2010,72.8
bel,2013,65.90759
bel,2018,65.4
ben,1982,0.7
ben,1996,3.4
ben,2001,7.2
ben,2006,6.1
ben,2012,7.9
ben,2014,12.35805
ben,2018,12.4
ben,2022,16.9
bfa,1993,4.2
bfa,1999,4.8
bfa,2003,8.8
bfa,2006,14.32909
bfa,2010,15
bfa,2014,18.36216
bfa,2015,20.6107
bfa,2016,24.21286
bfa,2017,24.72188
bfa,2019,30.48386
bfa,2020,27.72621
bfa,2021,31.5
bfa,2022,31.25048
bgd,1976,5
bgd,1980,8.8
bgd,1981,11
bgd,1984,13.8
bgd,1986,18.4
bgd,1989,24.5
bgd,1991,31.2
bgd,1994,36.6
bgd,1997,42.1
bgd,2000,44
bgd,2001,43.9
bgd,2004,47.6
bgd,2007,47.5
bgd,2011,52.1
bgd,2013,59.26917
bgd,2014,54.1
bgd,2016,56
bgd,2018,51.9
bgd,2019,59.11444
bgd,2022,54.7
bgr,1976,6
bgr,1995,45.6
bgr,1998,39.6
bgr,2005,36.8
bgr,2007,39.6
bhr,1989,30.3
