geo,time,fs_ast_doms_gd_zs
ago,2015,27.05092
ago,2016,27.54314
ago,2017,29.79625
ago,2018,25.28643
ago,2019,24.50206
ago,2020,34.23272
ago,2021,21.7932
ago,2022,18.45305
alb,2009,68.92508
alb,2010,67.4524
alb,2011,70.30973
alb,2012,70.17541
alb,2013,72.18066
alb,2014,73.18125
alb,2015,68.13827
alb,2016,66.39007
alb,2017,63.61067
alb,2018,58.49575
alb,2019,61.42126
alb,2020,69.07709
alb,2021,63.97435
alb,2022,60.04737
are,2016,105.58745
are,2017,100.29648
are,2018,89.35644
are,2019,96.19976
are,2020,118.174
are,2021,101.05046
are,2022,79.15659
arg,1960,21.67153
arg,1961,18.76418
arg,1962,17.26598
arg,1963,17.95078
arg,1964,17.44224
arg,1965,16.18727
arg,1966,17.68013
arg,1967,18.65154
arg,1968,21.15013
arg,1969,22.23096
arg,1970,24.94584
arg,1971,24.02893
arg,1972,19.43397
arg,1973,27.49019
arg,1974,30.37131
arg,1975,28.75948
arg,1976,20.34415
arg,1977,26.41377
arg,1978,29.37154
arg,1979,31.28086
arg,1980,32.96011
arg,1981,48.44989
arg,1982,45.99876
arg,1983,46.2097
arg,1984,41.74891
arg,1985,32.573
arg,1986,32.86969
arg,1987,47.58568
arg,1988,42.67447
arg,1989,80.05568
arg,1990,32.42071
arg,1991,22.79904
arg,1992,22.47858
arg,1993,25.99353
arg,1994,26.57876
arg,1995,27.86795
arg,1996,28.22031
arg,1997,30.3762
arg,1998,32.50284
arg,1999,35.50442
arg,2000,34.45169
arg,2001,37.24336
arg,2002,62.42109
arg,2003,50.62782
arg,2004,41.89491
arg,2005,34.9408
arg,2006,28.1686
arg,2007,25.83252
arg,2008,21.96153
arg,2009,25.66379
arg,2010,25.33232
arg,2011,26.46596
arg,2012,30.60122
arg,2013,33.18739
arg,2014,34.43214
arg,2015,40.42763
arg,2016,37.93225
arg,2017,38.8684
arm,2009,21.52988
arm,2010,27.8157
arm,2011,36.38145
arm,2012,41.38846
arm,2013,43.14971
arm,2014,51.30103
arm,2015,48.25998
arm,2016,54.37078
arm,2017,58.27807
arm,2018,62.36139
arm,2019,65.43829
arm,2020,83.40406
arm,2021,74.52846
arm,2022,64.99207
aze,2016,28.12403
aze,2017,13.93164
aze,2018,13.13282
aze,2019,14.61752
aze,2020,15.40001
aze,2021,16.30695
aze,2022,14.66635
bhs,1973,66.35862
bhs,1974,61.59077
bhs,1975,71.97249
bhs,1976,67.82433
bhs,1977,66.38149
bhs,1978,62.15762
bhs,1979,48.8419
bhs,1980,47.43503
bhs,1981,48.22993
bhs,1982,49.40125
bhs,1983,49.81533
bhs,1984,44.03508
bhs,1985,42.28897
bhs,1986,43.97169
bhs,1987,49.35151
bhs,1988,52.90465
bhs,1989,54.26519
bhs,1990,58.47126
bhs,1991,62.62294
bhs,1992,65.73496
bhs,1993,70.99288
bhs,1994,71.99141
bhs,1995,74.77399
bhs,1996,76.38404
bhs,1997,48.21174
bhs,1998,50.08766
bhs,1999,49.57398
bhs,2000,52.7322
bhs,2001,56.0639
bhs,2002,55.50176
bhs,2003,55.67249
bhs,2004,56.60448
bhs,2005,59.53824
bhs,2006,65.9313
bhs,2007,69.03245
bhs,2008,74.17633
