geo,time,ny_trf_nctr_cd
abw,1986,2290502.7933
abw,1987,446927.3743
abw,1988,-837988.82682
abw,1989,4804469.27374
abw,1990,-8938547.48603
abw,1991,-16592178.77095
abw,1992,-502793.29609
abw,1993,-5027932.96089
abw,1994,-10502793.29609
abw,1995,28044692.73743
abw,1996,-3631284.9162
abw,1997,-11061452.51397
abw,1998,-4804469.27374
abw,1999,-52905027.93296
abw,2000,-78547486.03352
abw,2001,-64301675.97765
abw,2002,-66703910.61453
abw,2003,-87765363.12849
abw,2004,-112346368.71508
abw,2005,-132625698.32402
abw,2006,-130279329.60894
abw,2007,-123687150.83799
abw,2008,-130837988.82682
abw,2009,-83631284.9162
abw,2010,-70670391.06145
abw,2011,-115865921.78771
abw,2012,-75865921.78771
abw,2013,-59217877.09497
abw,2014,-70502793.29609
abw,2015,-68938547.48603
abw,2016,-62681564.24581
abw,2017,-67175530.72626
abw,2018,-91261955.30726
abw,2019,-78922011.17318
afg,2009,3551510745.29741
afg,2010,4496237004.36681
afg,2011,4012100624.3614
afg,2012,4505728674.3034
afg,2013,5959668424.00793
afg,2014,7920515459.39395
afg,2015,8117750302.41066
afg,2016,8155464927.82834
afg,2017,8797876919.53125
afg,2018,8963043760.99002
afg,2019,8504239980.30979
afg,2020,9052830502.86608
ago,1994,122500000
ago,1995,156148148.14815
ago,1996,4423537837.83784
ago,1997,94263318.77729
ago,1998,151495417.51528
ago,1999,55750134.37489
ago,2000,27500124.49579
ago,2001,90549843.82013
ago,2002,31999005.28828
ago,2003,98916665.2146
ago,2004,6544339.69266
ago,2005,26755310.69045
ago,2006,-189965323.30614
ago,2007,-221917846.16869
ago,2008,-210065660.09271
ago,2009,-370306982.88881
ago,2010,-437692130.08551
ago,2011,-1362246990.46573
ago,2012,-1762151159.55084
ago,2013,-2123402380.68843
ago,2014,-2210929195.01457
ago,2015,-833831316.15924
ago,2016,-454249458.01081
ago,2017,-468749564.84004
ago,2018,-269381691.61304
ago,2019,-227000000
ago,2020,-62447817.48241
alb,1984,73392797.79766
alb,1985,74034499.44219
alb,1986,82123775
alb,1987,75828487.5
alb,1988,74776337.5
alb,1989,82160000
alb,1990,73071212.5
alb,1991,39607618.05556
alb,1992,523700000.66638
alb,1993,555200000
alb,1994,342000120.47773
alb,1995,477400000
alb,1996,559400089.37893
alb,1997,268627469.66598
alb,1998,502154293.46388
alb,1999,325033527.87835
alb,2000,531795095.41137
alb,2001,569904259.36238
alb,2002,624001223.59618
alb,2003,849516826.5071
alb,2004,1110774827.45791
alb,2005,1294042181.70968
alb,2006,1269623161.88838
alb,2007,1431609902.47479
alb,2008,1378156648.93807
alb,2009,1307332895.68859
alb,2010,1220526640.73422
alb,2011,1262412220.33028
alb,2012,1131164096.05099
alb,2013,903499715.14878
alb,2014,959283656.61737
alb,2015,852210452.06598
alb,2016,908020970.25596
alb,2017,962368840.47019
alb,2018,1070513279.10569
alb,2019,1087701888.37951
alb,2020,1136437672.34238
are,2000,-3961878829.13547
are,2001,-4208032675.28931
are,2002,-4424778761.06195
are,2003,-4661674608.57726
are,2004,-5675697753.57386
are,2005,-6725936010.89176
are,2006,-8196324029.95235
are,2007,-9288223281.14363
are,2008,-10619469026.5487
are,2009,-10183798502.3826
are,2010,-19387338325.3914
are,2011,-22028590878.1484
are,2012,-24479237576.5827
are,2013,-26426126616.7461
are,2014,-28236895847.5153
are,2015,-39646017699.115
are,2016,-39101429543.9074
are,2017,-41198093941.4568
are,2018,-46107556160.6535
are,2019,-46594962559.5643
arg,1991,420224226.53382
arg,1992,789199979.81022
arg,1993,520720720.72072
arg,1994,463200000
arg,1995,553800000
arg,1996,447500000
arg,1997,463600000
arg,1998,406300000
arg,1999,397400000
arg,2000,399035900
arg,2001,424494800
arg,2002,547465985.11849
arg,2003,512867630.58752
arg,2004,596675378.4536
arg,2005,607628786.84498
arg,2006,954769945.4262
arg,2007,1072613668.41903
arg,2008,1114460043.40032
arg,2009,920172181.01286
arg,2010,581016672.6151
arg,2011,534442860.27104
arg,2012,672112201.17976
arg,2013,734134663.25942
arg,2014,1534643559.91816
arg,2015,1082834495.29555
arg,2016,1122922463.44405
arg,2017,371433655.14077
arg,2018,1278618750.66738
arg,2019,826920775.36092
arg,2020,1159569408.21557
arm,1993,163612558.73558
arm,1994,232332292.58649
arm,1995,211617143.6781
arm,1996,169930252.6326
arm,1997,208661655.93151
arm,1998,166793239.84143
arm,1999,150062371.13595
