geo,time,sl_uem_advn_fe_zs
afg,2014,9.96
afg,2017,30.49
afg,2020,27.74
afg,2021,20.21
ago,2004,25.62
ago,2009,5.58
ago,2011,20.81
ago,2014,6.86
ago,2019,24.9
ago,2021,22.17
alb,2002,3.13
alb,2005,5.48
alb,2007,15.31
alb,2008,15.38
alb,2009,18.53
alb,2010,14.39
alb,2011,18.68
alb,2012,19.21
alb,2013,16.22
alb,2014,18.6
alb,2015,21.61
alb,2016,17.71
alb,2017,14.04
alb,2018,15.61
alb,2019,13.66
are,1995,3.66
are,2005,9.49
are,2017,9.7
are,2018,9.1
are,2021,7.5
arg,2002,14.5
arg,2003,13.69
arg,2004,6.75
arg,2005,5.66
arg,2006,4.39
arg,2008,4.43
arg,2009,4.63
arg,2010,3.53
arg,2011,3.76
arg,2012,3.8
arg,2013,3.89
arg,2014,3.92
arg,2017,3.97
arg,2018,4.2
arg,2019,4.4
arg,2020,4.9
arg,2021,3.43
arm,2007,31.44
arm,2008,21.29
arm,2009,20.65
arm,2010,22.92
arm,2011,21.43
arm,2012,20.09
arm,2013,20.39
arm,2014,19.84
arm,2015,20.41
arm,2016,17.68
arm,2017,17.91
arm,2018,12.73
arm,2019,12.45
arm,2020,11.73
arm,2021,9.03
aus,1995,2.87
aus,1997,4.57
aus,1998,3.83
aus,2000,3.41
aus,2001,3.26
aus,2002,3.42
aus,2003,3.34
aus,2004,3.12
aus,2005,2.99
aus,2006,2.47
aus,2007,2.67
aus,2008,2.54
aus,2009,3.31
aus,2010,2.96
aus,2011,3.43
aus,2012,3.41
aus,2013,3.26
aus,2014,3.73
aus,2015,3.63
aus,2016,3.58
aus,2017,3.36
aus,2018,2.96
aus,2019,2
aus,2020,3.34
aus,2021,3.49
aut,1994,2.19
aut,1998,2.42
aut,1999,1.83
aut,2000,2.48
aut,2001,2.35
aut,2002,1.87
aut,2003,2.36
aut,2004,4.21
aut,2005,3.32
aut,2006,3.6
aut,2007,3.3
aut,2008,2.13
aut,2009,3.23
aut,2010,2.89
aut,2011,3.13
aut,2012,2.77
aut,2013,4.05
aut,2014,4.22
aut,2015,3.83
aut,2016,3.41
aut,2017,3.32
aut,2018,3.42
aut,2019,3.48
aut,2020,3.65
aut,2021,4.18
aut,2022,3.61
aze,2007,3.63
aze,2008,1.36
aze,2009,8.35
aze,2010,10.37
aze,2011,7.77
aze,2012,6.84
aze,2014,5.69
aze,2015,5.68
aze,2016,5.08
aze,2017,5.2
aze,2018,4.76
aze,2019,4.66
aze,2020,6.27
aze,2021,5.16
aze,2022,4.76
bdi,2006,23.54
bdi,2014,23.26
bdi,2020,14.94
bel,1998,4.62
bel,1999,4.59
bel,2000,3.14
bel,2001,3.4
bel,2002,3.65
bel,2003,3.69
bel,2004,3.78
bel,2005,4.56
bel,2006,4.95
bel,2007,3.87
bel,2008,3.69
bel,2009,4.6
bel,2010,4.63
bel,2011,3.81
bel,2012,3.92
bel,2013,5.17
bel,2014,4.72
bel,2015,4.3
bel,2016,4.39
bel,2017,4.68
bel,2018,3.33
bel,2019,3.05
bel,2020,3.3
bel,2021,3.47
bel,2022,2.93
ben,2011,16.18
ben,2018,3.86
bfa,2014,17.9
bfa,2018,9.3
bgd,2006,10.41
bgd,2010,7.93
bgd,2013,15.34
bgd,2016,16.78
bgd,2017,20.83
bgr,2000,6.5
bgr,2001,9.16
bgr,2002,8.73
bgr,2003,7.35
bgr,2004,6.22
bgr,2005,4.23
bgr,2006,4.13
bgr,2007,2.49
bgr,2008,2.53
bgr,2009,3.04
bgr,2010,4.54
bgr,2011,4.96
bgr,2012,5.54
bgr,2013,6.38
bgr,2014,4.82
bgr,2015,3.89
bgr,2016,3.27
bgr,2017,2.86
bgr,2018,2.22
bgr,2019,1.96
bgr,2020,2.36
bgr,2021,1.95
bgr,2022,1.38
bhs,1994,9.2
bih,2007,11.3
bih,2008,14.93
bih,2009,11.11
bih,2010,18.35
bih,2011,15.97
bih,2012,22.54
bih,2013,19.72
bih,2014,24.53
bih,2015,23.43
bih,2016,27.31
bih,2017,21.76
bih,2018,17.09
bih,2019,16.19
bih,2020,14.73
bih,2021,15.45
bih,2022,13.79
blr,2016,2.68
blr,2017,2.82
blr,2018,2.46
blr,2019,1.85
blr,2020,2.77
blr,2021,2.14
blr,2022,2.15
blz,2005,6.96
blz,2012,10.19
blz,2013,7.89
blz,2014,7.76
blz,2015,6.2
blz,2016,7.1
blz,2017,4.95
blz,2019,8.52
bmu,2000,1.81
bmu,2009,1.61
bmu,2010,2.41
bmu,2012,5.39
bol,1996,13.25
bol,1997,8.74
bol,2000,14.59
bol,2001,5.01
bol,2002,7.46
bol,2004,10.48
bol,2005,8.03
bol,2006,6.78
bol,2007,12.29
bol,2008,6.35
bol,2009,6.41
bol,2011,3.08
bol,2012,5.03
bol,2013,5.15
bol,2014,3.38
bol,2015,4.92
bol,2016,7.41
bol,2017,7.54
bol,2018,6.53
bol,2019,6.27
bol,2020,15.8
bol,2021,9.49
bol,2022,6.45
bra,1995,3.19
bra,1996,4.11
bra,1997,4.04
bra,1998,4.69
bra,1999,5.53
bra,2001,5.15
bra,2002,4.4
bra,2003,5.32
bra,2004,4.75
bra,2005,4.89
bra,2006,5.12
bra,2007,5.05
bra,2008,5.15
bra,2009,5.23
bra,2011,4.82
bra,2012,1.73
bra,2013,2.32
bra,2014,1.67
bra,2015,5.82
bra,2016,7.11
bra,2017,8.04
bra,2018,7.81
bra,2019,7.88
bra,2020,8.39
bra,2021,8.66
bra,2022,5.87
brb,1997,3.63
brb,2003,6.21
brb,2015,5.26
brb,2016,4.68
brb,2017,4.56
brb,2018,5.55
brb,2019,4.96
brn,2014,4.9
brn,2017,8.21
brn,2018,10.88
brn,2019,7.07
brn,2020,7.96
brn,2021,3.6
btn,2012,10.24
btn,2013,29.29
btn,2015,19.14
btn,2018,17.47
btn,2019,14.5
btn,2020,19.49
btn,2021,15.67
btn,2022,16.52
bwa,2006,7.79
bwa,2009,3.94
bwa,2010,7.87
bwa,2019,16.69
bwa,2020,19.18
bwa,2021,17.17
bwa,2022,20.59
can,1990,5.59
can,1991,6.88
can,1992,7.09
can,1993,7.79
can,1994,7.35
can,1995,6.79
can,1996,7.15
can,1997,6.57
can,1998,5.67
can,1999,5.23
can,2000,4.63
can,2001,5.09
can,2002,5.27
can,2003,5.44
can,2004,5.19
can,2005,4.91
can,2006,4.66
can,2007,4.33
can,2008,4.41
can,2009,5.32
can,2010,5.69
can,2011,5.49
can,2012,5.43
can,2013,5.09
can,2014,5.04
can,2015,4.93
can,2016,5.07
can,2017,4.86
can,2018,4.51
can,2019,4.22
can,2020,7.63
can,2021,5.87
can,2022,4.13
che,1991,1.87
che,1992,3.61
che,1993,4.16
che,1994,5.47
che,1995,2.47
che,1996,2.3
che,1997,6.24
che,1998,5.71
che,1999,3.47
che,2000,2.11
che,2001,3.16
che,2002,2.61
che,2003,3.21
che,2004,3.47
che,2005,3.86
che,2006,3.15
che,2007,2.94
che,2008,2.44
che,2009,3.48
che,2010,3.37
che,2011,3.98
che,2012,3.59
che,2013,3.75
che,2014,3.79
che,2015,3.79
che,2016,3.49
che,2017,4.72
che,2018,4.33
che,2019,3.96
che,2020,4.13
che,2021,4.04
che,2022,3.51
chl,1998,4.58
chl,2000,2.76
chl,2003,5.03
chl,2006,6.4
chl,2007,8.47
chl,2009,7.52
chl,2010,7.12
chl,2011,7.18
chl,2012,6.85
chl,2013,5.42
chl,2014,5.36
chl,2015,5.12
chl,2016,5.26
chl,2017,7.34
chl,2018,7.33
chl,2019,6.95
chl,2020,8.99
chl,2021,7.86
chl,2022,7.31
civ,2012,37.76
civ,2013,13.18
civ,2016,14.32
civ,2017,22.2
civ,2019,13.13
cmr,2007,16.55
cmr,2014,20.07
cod,2005,15.72
cod,2012,20.28
cod,2020,7.56
cog,2005,31.31
cog,2009,25.55
col,2002,14.53
col,2003,14.01
col,2004,14.58
col,2005,12.77
col,2007,12.26
col,2008,12.68
col,2009,13.37
col,2010,14.11
col,2011,13.57
col,2012,13.46
col,2013,12.83
col,2014,12.27
col,2015,12.15
col,2016,13.13
col,2017,12.79
col,2018,13.33
col,2019,13.77
col,2021,17.48
col,2022,11.82
com,2014,15.91
com,2021,16.64
cpv,2009,10.55
cpv,2015,21.25
cpv,2017,12.37
cpv,2018,6.92
cpv,2019,10.64
cri,1996,5.48
cri,1997,4.05
cri,1998,3.2
cri,1999,3.89
cri,2000,2.66
cri,2001,4.59
cri,2002,3.89
cri,2003,3.4
cri,2004,3.54
cri,2005,5.99
cri,2006,2.93
cri,2007,2.69
cri,2008,3.26
cri,2010,5.23
cri,2011,6.24
cri,2012,7.17
cri,2013,4.63
cri,2014,6.03
cri,2015,6.08
cri,2016,6.17
cri,2017,5.33
cri,2018,5.86
cri,2019,6.87
cri,2020,10.31
cri,2021,7.86
cri,2022,7.46
cub,2006,0.58
cub,2007,0.5
cub,2008,0.44
cub,2009,0.58
cub,2010,1.45
cym,2011,4.38
cym,2012,4.72
cym,2013,3.27
cym,2014,3.43
cym,2015,4.25
cyp,1999,4.56
cyp,2000,1.53
cyp,2001,2.49
cyp,2002,3.44
cyp,2003,4.6
cyp,2004,5.27
cyp,2005,5.9
cyp,2006,5.43
cyp,2007,4.33
cyp,2008,3.44
cyp,2009,5.66
cyp,2010,6.7
cyp,2011,7.72
cyp,2012,11.73
cyp,2013,14.57
cyp,2014,14.15
cyp,2015,13.85
cyp,2016,11.63
cyp,2017,10.78
cyp,2018,8.09
cyp,2019,7.62
cyp,2020,7.02
cyp,2021,6.89
cyp,2022,6.73
cze,1996,1.53
cze,1997,1.94
cze,1998,6.33
cze,1999,10.75
cze,2000,7.9
cze,2001,5.59
cze,2002,3.96
cze,2003,5
cze,2004,3.1
cze,2005,4
cze,2006,4.6
cze,2007,2.03
cze,2008,2.06
cze,2009,4.61
cze,2010,4.8
cze,2011,4.46
cze,2012,3.62
cze,2013,4
cze,2014,3.37
cze,2015,2.77
cze,2016,2.34
cze,2017,1.8
cze,2018,1.43
cze,2019,1.14
cze,2020,1.64
cze,2021,1.44
cze,2022,0.98
deu,1998,6.64
deu,1999,5.75
deu,2000,5.2
deu,2001,4.87
deu,2002,4.79
deu,2003,5.71
deu,2004,5.87
deu,2005,6.02
deu,2006,5.29
deu,2007,4.47
deu,2008,3.94
deu,2009,3.72
deu,2010,3.24
deu,2011,2.66
deu,2012,2.6
deu,2013,2.59
deu,2014,2.75
deu,2015,2.54
deu,2016,2.26
deu,2017,1.98
deu,2018,1.93
deu,2019,1.84
deu,2020,2.59
deu,2021,2.52
deu,2022,2.23
dji,2017,22.13
dnk,1998,3.66
dnk,1999,3.5
dnk,2000,2.56
dnk,2001,3.21
dnk,2002,3.52
dnk,2003,5.15
dnk,2004,3.69
dnk,2005,3.8
dnk,2006,3.78
dnk,2007,3.15
dnk,2008,2.25
dnk,2009,3.46
dnk,2010,4.46
dnk,2011,5.39
dnk,2012,5.27
dnk,2013,4.76
dnk,2014,5.04
dnk,2015,4.99
dnk,2016,4.83
dnk,2017,4.73
dnk,2018,4.71
dnk,2019,4.29
dnk,2020,4.86
dnk,2021,3.84
dnk,2022,3.57
dom,2000,5.87
dom,2001,6.24
dom,2002,7.48
dom,2003,5.92
dom,2004,5.68
dom,2005,5.7
dom,2006,5.27
dom,2007,4.26
dom,2008,4.05
dom,2009,3.4
dom,2010,3.54
dom,2011,5.16
dom,2012,4.87
dom,2013,5.07
dom,2014,6.12
dom,2015,6.68
dom,2016,5.47
dom,2017,5.62
dom,2018,4.72
dom,2019,6.49
dom,2020,6.44
dom,2021,10
dza,2004,35.43
dza,2017,25.36
ecu,2000,5.72
ecu,2001,5.21
ecu,2002,10.69
ecu,2003,5.6
ecu,2004,5.37
ecu,2005,5.16
ecu,2006,4.68
ecu,2007,5.26
ecu,2008,5.4
ecu,2009,7.93
ecu,2010,5.92
ecu,2011,4.91
ecu,2012,4.65
ecu,2013,4.28
ecu,2014,5.04
ecu,2015,5.71
ecu,2016,7.28
ecu,2017,6.89
ecu,2018,6.1
ecu,2019,5.99
ecu,2021,7.25
ecu,2022,5.98
egy,2008,24.68
egy,2009,29.73
egy,2010,33.04
egy,2011,31.89
egy,2012,32.33
egy,2013,34.11
egy,2014,31.46
egy,2015,32.79
egy,2016,30.92
egy,2017,31.33
egy,2018,34.76
egy,2020,28.02
egy,2021,25.08
esp,1998,21.71
esp,1999,18.3
esp,2000,15.29
esp,2001,10.88
esp,2002,12.18
esp,2003,10.62
esp,2004,10.67
esp,2005,8.18
esp,2006,7.53
esp,2007,6.47
esp,2008,7.54
esp,2009,10.45
esp,2010,12.15
esp,2011,13.57
esp,2012,16.33
esp,2013,17.55
esp,2014,16.31
esp,2015,14.95
esp,2016,13.21
esp,2017,11.52
esp,2018,10.16
esp,2019,9.76
esp,2020,11.4
esp,2021,10.33
esp,2022,8.77
est,1995,10.38
est,1998,5.3
est,1999,6.43
est,2000,3.85
est,2001,7.26
est,2002,4.76
est,2003,5.81
est,2004,6.98
est,2005,3.97
est,2006,3.17
est,2007,2.24
est,2008,2.86
est,2009,5.8
est,2010,7.8
est,2011,8.58
est,2012,6.22
est,2013,5.87
est,2014,4.75
est,2015,4.22
est,2016,3.74
est,2017,3
est,2018,3.42
est,2019,2.94
est,2020,4.72
est,2021,3.15
est,2022,3.29
eth,1999,9.96
eth,2005,13.94
eth,2013,7.12
fin,1998,7.37
fin,1999,6
fin,2000,6.02
fin,2001,4.65
fin,2002,4.19
fin,2003,4
fin,2004,5.4
fin,2005,4.77
fin,2006,4.07
fin,2007,3.84
fin,2008,3.63
fin,2009,4.09
fin,2010,4.26
fin,2011,3.71
fin,2012,3.5
fin,2013,4.06
fin,2014,4.58
fin,2015,5.66
fin,2016,5.69
fin,2017,5.25
fin,2018,4.23
fin,2019,3.7
fin,2020,4.49
fin,2021,4.28
fin,2022,3.6
fji,2011,7.06
fji,2014,2.14
fji,2016,6.26
fra,1998,8.31
fra,1999,7.92
fra,2000,6.17
fra,2001,5.45
fra,2002,5.4
fra,2003,6.03
fra,2004,6.67
fra,2005,6.72
fra,2006,6.4
fra,2007,6.22
fra,2008,5.03
fra,2009,5.84
fra,2010,6.04
fra,2011,6.24
fra,2012,5.89
fra,2013,6.09
fra,2014,6.28
fra,2015,6.08
fra,2016,5.85
fra,2017,5.44
fra,2018,5.43
fra,2019,4.9
fra,2020,5.15
fra,2021,5.19
fra,2022,4.67
fsm,2014,9.01
gbr,1998,3.46
gbr,1999,2.49
gbr,2000,2.19
gbr,2001,2
gbr,2002,2.11
gbr,2003,1.96
gbr,2004,2.01
gbr,2005,2.3
gbr,2006,2.61
gbr,2007,2.37
gbr,2008,2.71
gbr,2009,3.42
gbr,2010,3.65
gbr,2011,4.15
gbr,2012,4.26
gbr,2013,3.67
gbr,2014,3.18
gbr,2015,2.94
gbr,2016,3.08
gbr,2017,2.91
gbr,2018,2.49
gbr,2019,2.39
geo,1999,9.73
geo,2002,15.56
geo,2011,24.22
geo,2012,24.17
geo,2013,21.34
geo,2014,18.92
geo,2015,17.03
geo,2016,15.7
geo,2017,14.67
geo,2018,11.39
geo,2019,10.46
geo,2020,11.18
gha,2000,14.28
gha,2006,5.32
gha,2010,8.37
gha,2013,3.91
gha,2015,5.89
gha,2017,4.72
gin,2002,17.03
gin,2019,19.64
gmb,2018,5.95
gnb,2018,15.96
grc,1987,11.9
grc,1988,12.48
grc,1989,12.1
grc,1990,11.44
grc,1991,11.22
grc,1992,11.41
grc,1993,13.83
grc,1994,12.42
grc,1995,13.07
grc,1996,12.71
grc,1997,12.5
grc,1998,14.46
grc,1999,13.46
grc,2000,12.76
grc,2001,11.75
grc,2002,10.64
grc,2003,10.61
grc,2004,12.7
grc,2005,12.16
grc,2006,10.46
grc,2007,10.34
grc,2008,8.63
grc,2009,9.85
grc,2010,13.06
grc,2011,18.02
grc,2012,22.99
grc,2013,25.21
grc,2014,23.56
grc,2015,23.05
grc,2016,21.95
grc,2017,20.26
grc,2018,18.23
grc,2019,15.74
grc,2020,14.18
grc,2021,13.48
grc,2022,10.73
gtm,2003,7.64
gtm,2004,7.29
gtm,2006,0.88
gtm,2012,6.9
gtm,2013,2.73
gtm,2014,3.62
gtm,2015,1.53
gtm,2016,2.18
gtm,2017,4.15
gtm,2018,4.02
gtm,2019,4.32
gtm,2021,3.38
gtm,2022,5.25
guy,2018,5.39
guy,2019,5.99
